category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap0,home,aria-allowed-role,1,15,16,0.0625
hubmap,hubmap0,home,aria-required-children,2,0,2,1
hubmap,hubmap0,home,heading-order,3,18,21,0.14285714285714285
hubmap,hubmap0,home,html-has-lang,1,0,1,1
hubmap,hubmap0,home,landmark-one-main,1,0,1,1
hubmap,hubmap0,home,link-name,67,57,124,0.5403225806451613
hubmap,hubmap0,home,nested-interactive,3,27,30,0.1
hubmap,hubmap0,home,region,65,821,886,0.07336343115124154
hubmap,hubmap0,home,aria-allowed-attr,0,21,21,0
hubmap,hubmap0,home,aria-conditional-attr,0,21,21,0
hubmap,hubmap0,home,aria-deprecated-role,0,16,16,0
hubmap,hubmap0,home,aria-hidden-body,0,1,1,0
hubmap,hubmap0,home,aria-hidden-focus,0,47,47,0
hubmap,hubmap0,home,aria-prohibited-attr,0,21,21,0
hubmap,hubmap0,home,aria-required-attr,0,16,16,0
hubmap,hubmap0,home,aria-required-parent,0,4,4,0
hubmap,hubmap0,home,aria-roles,0,16,16,0
hubmap,hubmap0,home,aria-valid-attr-value,0,21,21,0
hubmap,hubmap0,home,aria-valid-attr,0,21,21,0
hubmap,hubmap0,home,avoid-inline-spacing,0,102,102,0
hubmap,hubmap0,home,button-name,0,5,5,0
hubmap,hubmap0,home,bypass,0,1,1,0
hubmap,hubmap0,home,color-contrast,0,120,120,0
hubmap,hubmap0,home,document-title,0,1,1,0
hubmap,hubmap0,home,duplicate-id-aria,0,8,8,0
hubmap,hubmap0,home,empty-heading,0,21,21,0
hubmap,hubmap0,home,image-alt,0,15,15,0
hubmap,hubmap0,home,image-redundant-alt,0,15,15,0
hubmap,hubmap0,home,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap0,home,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap0,home,landmark-unique,0,2,2,0
hubmap,hubmap0,home,link-in-text-block,0,10,10,0
hubmap,hubmap0,home,list,0,1,1,0
hubmap,hubmap0,home,listitem,0,5,5,0
hubmap,hubmap0,home,meta-viewport-large,0,1,1,0
hubmap,hubmap0,home,meta-viewport,0,1,1,0
hubmap,hubmap0,home,page-has-heading-one,0,1,1,0
hubmap,hubmap0,home,role-img-alt,0,6,6,0
hubmap,hubmap0,home,scrollable-region-focusable,0,1,1,0
hubmap,hubmap0,home,tabindex,0,14,14,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap10,dataset,button-name,1,9,10,0.1
hubmap,hubmap10,dataset,heading-order,3,25,28,0.10714285714285714
hubmap,hubmap10,dataset,html-has-lang,1,0,1,1
hubmap,hubmap10,dataset,landmark-one-main,1,0,1,1
hubmap,hubmap10,dataset,region,56,476,532,0.10526315789473684
hubmap,hubmap10,dataset,scrollable-region-focusable,1,0,1,1
hubmap,hubmap10,dataset,aria-allowed-attr,0,12,12,0
hubmap,hubmap10,dataset,aria-allowed-role,0,7,7,0
hubmap,hubmap10,dataset,aria-conditional-attr,0,12,12,0
hubmap,hubmap10,dataset,aria-deprecated-role,0,5,5,0
hubmap,hubmap10,dataset,aria-hidden-body,0,1,1,0
hubmap,hubmap10,dataset,aria-hidden-focus,0,104,104,0
hubmap,hubmap10,dataset,aria-prohibited-attr,0,12,12,0
hubmap,hubmap10,dataset,aria-required-attr,0,5,5,0
hubmap,hubmap10,dataset,aria-required-children,0,1,1,0
hubmap,hubmap10,dataset,aria-required-parent,0,3,3,0
hubmap,hubmap10,dataset,aria-roles,0,5,5,0
hubmap,hubmap10,dataset,aria-valid-attr-value,0,12,12,0
hubmap,hubmap10,dataset,aria-valid-attr,0,12,12,0
hubmap,hubmap10,dataset,avoid-inline-spacing,0,4,4,0
hubmap,hubmap10,dataset,bypass,0,1,1,0
hubmap,hubmap10,dataset,color-contrast,0,119,119,0
hubmap,hubmap10,dataset,document-title,0,1,1,0
hubmap,hubmap10,dataset,duplicate-id-aria,0,6,6,0
hubmap,hubmap10,dataset,empty-heading,0,28,28,0
hubmap,hubmap10,dataset,empty-table-header,0,5,5,0
hubmap,hubmap10,dataset,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap10,dataset,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap10,dataset,landmark-unique,0,2,2,0
hubmap,hubmap10,dataset,link-in-text-block,0,3,3,0
hubmap,hubmap10,dataset,link-name,0,42,42,0
hubmap,hubmap10,dataset,list,0,1,1,0
hubmap,hubmap10,dataset,listitem,0,6,6,0
hubmap,hubmap10,dataset,meta-viewport-large,0,1,1,0
hubmap,hubmap10,dataset,meta-viewport,0,1,1,0
hubmap,hubmap10,dataset,nested-interactive,0,29,29,0
hubmap,hubmap10,dataset,page-has-heading-one,0,1,1,0
hubmap,hubmap10,dataset,scope-attr-valid,0,5,5,0
hubmap,hubmap10,dataset,tabindex,0,12,12,0
hubmap,hubmap10,dataset,table-duplicate-name,0,2,2,0
hubmap,hubmap10,dataset,td-headers-attr,0,2,2,0
hubmap,hubmap10,dataset,th-has-data-cells,0,2,2,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap11,donor,button-name,1,9,10,0.1
hubmap,hubmap11,donor,heading-order,2,19,21,0.09523809523809523
hubmap,hubmap11,donor,html-has-lang,1,0,1,1
hubmap,hubmap11,donor,landmark-one-main,1,0,1,1
hubmap,hubmap11,donor,region,38,479,517,0.0735009671179884
hubmap,hubmap11,donor,scrollable-region-focusable,1,1,2,0.5
hubmap,hubmap11,donor,aria-allowed-attr,0,15,15,0
hubmap,hubmap11,donor,aria-allowed-role,0,10,10,0
hubmap,hubmap11,donor,aria-conditional-attr,0,15,15,0
hubmap,hubmap11,donor,aria-deprecated-role,0,9,9,0
hubmap,hubmap11,donor,aria-hidden-body,0,1,1,0
hubmap,hubmap11,donor,aria-hidden-focus,0,41,41,0
hubmap,hubmap11,donor,aria-prohibited-attr,0,15,15,0
hubmap,hubmap11,donor,aria-required-attr,0,9,9,0
hubmap,hubmap11,donor,aria-required-children,0,2,2,0
hubmap,hubmap11,donor,aria-required-parent,0,4,4,0
hubmap,hubmap11,donor,aria-roles,0,9,9,0
hubmap,hubmap11,donor,aria-valid-attr-value,0,15,15,0
hubmap,hubmap11,donor,aria-valid-attr,0,15,15,0
hubmap,hubmap11,donor,avoid-inline-spacing,0,6,6,0
hubmap,hubmap11,donor,bypass,0,1,1,0
hubmap,hubmap11,donor,color-contrast,0,88,88,0
hubmap,hubmap11,donor,document-title,0,1,1,0
hubmap,hubmap11,donor,empty-heading,0,21,21,0
hubmap,hubmap11,donor,empty-table-header,0,7,7,0
hubmap,hubmap11,donor,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap11,donor,landmark-no-duplicate-banner,0,1,1,0
