rank,sourceid,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs_2022_,total_docs_3years_,total_refs_,total_cites_3years_,citable_docs_3years_,cites_doc_2years_,ref_doc_,country,region,publisher,coverage,categories,areas,website_id,page_type,page_id,url
1,28773,Ca-A Cancer Journal for Clinicians,journal,"15424863, 00079235","86,091",Q1,198,44,118,4268,30318,85,"299,99","97,00",United States,Northern America,Wiley-Blackwell,1950-2022,Hematology;Oncology,Medicine,Ca-A-Cancer-Journal-for-Clinicians,home,0,https://onlinelibrary.wiley.com/journal/15424863
4,18434,Cell,journal,"00928674, 10974172","26,494",Q1,856,420,1637,27609,67791,1440,"43,80","65,74",United States,Northern America,Cell Press,1974-2022,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",Cell,home,0,https://www.cell.com/cell/home
5,15847,New England Journal of Medicine,journal,"00284793, 15334406","26,015",Q1,1130,1410,4561,14396,133956,1854,"33,93","10,21",United States,Northern America,Massachussetts Medical Society,1945-2022,Medicine,Medicine,New-England-Journal-of-Medicine,home,0,https://www.nejm.org/
7,19434,MMWR Recommendations and Reports,journal,"10575987, 15458601","23,962",Q1,151,103,138,940,3469,133,"25,28","9,13",United States,Northern America,Centers for Disease Control and Prevention (CDC),1990-2022,"Epidemiology;Health Information Management;Health;Health, Toxicology and Mutagenesis;Medicine",Environmental Science; Health Professions; Medicine; Social Sciences,MMWR-Recommendations-and-Reports,home,0,https://www.cdc.gov/mmwr/indrr_2020.html
26,20651,Annual Review of Immunology,journal,"15453278, 07320582","15,262",Q1,317,24,84,4380,2702,83,"29,82","182,50",United States,Northern America,Annual Reviews Inc.,1983-2022,Immunology;Immunology and Allergy,Immunology and Microbiology; Medicine,Annual-Review-of-Immunology,home,0,https://www.annualreviews.org/journal/immunol
27,71056,MMWR Surveillance Summaries,journal,"15458636, 15460738","15,178",Q1,114,11,114,500,2980,104,"26,42","45,45",United States,Northern America,Centers for Disease Control and Prevention (CDC),2002-2022,"Epidemiology;Health Information Management;Health;Health, Toxicology and Mutagenesis",Environmental Science; Health Professions; Medicine; Social Sciences,MMWR-Surveillance-Summaries,home,0,https://www.cdc.gov/mmwr/indss_2020.html
30,20798,Immunity,journal,"10974180, 10747613","14,795",Q1,436,214,725,13904,18347,643,"22,23","64,97",United States,Northern America,Cell Press,1994-2022,Immunology;Immunology and Allergy;Infectious Diseases,Immunology and Microbiology; Medicine,Immunity,home,0,http://www.cell.com/immunity/home
31,16590,"Lancet, The",journal,"01406736, 1474547X","14,607",Q1,855,1198,4401,20483,80420,1373,"21,54","17,10",United Kingdom,Western Europe,Elsevier Ltd.,1823-2022,Medicine,Medicine,Lancet-The,home,0,https://www.thelancet.com/journals/lancet/home
35,6200180159,World Psychiatry,journal,17238617,"14,306",Q1,125,104,292,4345,4232,62,"15,61","41,78",United States,Northern America,Wiley-Blackwell,2007-2022,Psychiatry and Mental Health,Medicine,World-Psychiatry,home,0,https://onlinelibrary.wiley.com/journal/20515545
39,24004,Physiological Reviews,journal,"15221210, 00319333","13,693",Q1,373,46,122,17428,6046,119,"32,23","378,87",United States,Northern America,American Physiological Society,1945-2022,Medicine;Molecular Biology;Physiology;Physiology,"Biochemistry, Genetics and Molecular Biology; Medicine",Physiological-Reviews,home,0,https://journals.physiology.org/journal/physrev
40,21100466539,MMWR supplements,journal,"23808942, 23808950","13,467",Q1,22,7,9,0,389,9,"43,22","0,00",United States,Northern America,Epidemiology Program Office,"2016, 2020, 2022",Medicine,Medicine,MMWR-supplements,home,0,https://www.cdc.gov/mmwr/ind2016_su.html
41,23571,Science,journal,"10959203, 00368075","13,328",Q1,1283,2066,9273,40993,130524,4211,"14,90","19,84",United States,Northern America,American Association for the Advancement of Science,"1880-1881, 1883-2022",Multidisciplinary,Arts and Humanities; Multidisciplinary,Science,home,0,http://www.sciencemag.org/magazine.dtl
47,29093,Cancer Cell,journal,"15356108, 18783686","12,578",Q1,378,192,548,7019,12507,426,"21,28","36,56",United States,Northern America,Cell Press,2002-2022,Cancer Research;Cell Biology;Oncology,"Biochemistry, Genetics and Molecular Biology; Medicine",Cancer-Cell,home,0,https://www.cell.com/cancer-cell/home
50,12354,"Lancet Oncology, The",journal,"14702045, 14745488","12,270",Q1,382,476,1520,6563,19716,628,"13,57","13,79",United Kingdom,Western Europe,Elsevier Ltd.,2000-2022,Oncology,Medicine,Lancet-Oncology-The,home,0,https://www.thelancet.com/journals/lanonc/home
58,21100220495,"Lancet Respiratory Medicine,The",journal,"22132619, 22132600","11,204",Q1,159,274,939,4770,13753,402,"16,69","17,41",United Kingdom,Western Europe,Elsevier Ltd.,2013-2022,Pulmonary and Respiratory Medicine,Medicine,Lancet-Respiratory-Medicine-The,home,0,https://www.thelancet.com/journals/lanres/onlineFirst
59,21100860945,Science immunology,journal,24709468,"11,191",Q1,90,193,423,10743,7947,398,"19,83","55,66",United States,Northern America,American Association for the Advancement of Science,2016-2022,Immunology;Immunology and Allergy,Immunology and Microbiology; Medicine,Science-immunology,home,0,https://immunology.sciencemag.org/
60,16801,Annual Review of Biochemistry,journal,"15454509, 00664154","11,154",Q1,316,29,94,4437,2389,94,"17,13","153,00",United States,Northern America,Annual Reviews Inc.,"1946-1948, 1950-1960, 1962-2022",Biochemistry,"Biochemistry, Genetics and Molecular Biology",Annual-Review-of-Biochemistry,home,0,https://www.annualreviews.org/journal/biochem
70,21100804406,"Lancet Public Health, The",journal,24682667,"10,591",Q1,75,169,493,4394,7405,175,"18,43","26,00",United Kingdom,Western Europe,Elsevier Ltd.,2016-2022,"Public Health, Environmental and Occupational Health",Medicine,Lancet-Public-Health-The,home,0,https://www.thelancet.com/journals/lanpub/home
71,11600154092,Current Protocols in Bioinformatics,journal,"19343396, 1934340X","10,408",Q1,68,0,39,0,1225,39,"38,26","0,00",United States,Northern America,John Wiley &amp; Sons Inc.,2002-2020,Biochemistry;Medicine;Structural Biology,"Biochemistry, Genetics and Molecular Biology; Medicine",Current-Protocols-in-Bioinformatics,home,0,https://currentprotocols.onlinelibrary.wiley.com/journal/1934340x
74,5300152732,Cell Host and Microbe,journal,19313128,"10,227",Q1,219,208,601,9741,11449,522,"20,53","46,83",United States,Northern America,Cell Press,2007-2022,Cancer Research;Immunology and Microbiology;Microbiology;Molecular Biology;Parasitology;Virology,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology",Cell-Host-and-Microbe,home,0,https://www.cell.com/cell-host-microbe/home
76,29949,Journal of Clinical Oncology,journal,"15277755, 0732183X","10,163",Q1,600,575,1639,16901,25122,1168,"16,30","29,39",United States,Northern America,Lippincott Williams and Wilkins Ltd.,1983-2022,Cancer Research;Medicine;Oncology,"Biochemistry, Genetics and Molecular Biology; Medicine",Journal-of-Clinical-Oncology,home,0,https://ascopubs.org/journal/jco
77,146172,Cell Metabolism,journal,15504131,"10,037",Q1,318,176,669,10589,14060,591,"19,45","60,16",United States,Northern America,Cell Press,2005-2022,Cell Biology;Molecular Biology;Physiology,"Biochemistry, Genetics and Molecular Biology",Cell-Metabolism,home,0,http://www.cell.com/cell-metabolism/
78,19584,Annual Review of Public Health,journal,"01637525, 15452093","9,963",Q1,166,29,86,3392,2111,56,"19,43","116,97",United States,Northern America,Annual Reviews Inc.,1980-2022,"Medicine;Public Health, Environmental and Occupational Health",Medicine,Annual-Review-of-Public-Health,home,0,https://www.annualreviews.org/journal/publhealth
80,16860,"Lancet Neurology, The",journal,"14744465, 14744422","9,819",Q1,336,270,778,5157,11337,331,"11,88","19,10",United Kingdom,Western Europe,Elsevier Ltd.,2002-2022,Neurology,Medicine,Lancet-Neurology-The,home,0,https://www.thelancet.com/journals/laneur/home
