"web_type","country","publisher","fail_rate_meta","se","ci_95L","ci_95U","total_violations","total_checks","units"
"journal","ALL","ALL",0.0281721521795693,0.0137002734150983,0.0274462248020492,0.0289167087955938,208412,4979617,4941
"journal","Argentina","ALL",0.0421416028860195,0.165328750691008,0.0308374374291477,0.0573443833203577,1135,21764,24
"journal","Australia","ALL",0.0261185245956226,0.159523763120346,0.0192405795977285,0.0353664737955371,715,31818,32
"journal","Austria","ALL",0.004575901978542,0.333920513862572,0.0023834089668194,0.00876753957472731,247,20700,23
"journal","Bangladesh","ALL",0.00786458123169266,0.302905734129319,0.00435886732698641,0.0141497712318408,26,3729,5
"journal","Belarus","ALL",0.0481438370939561,0.499729274112504,0.0186392203573444,0.118703072432544,281,3024,7
"journal","Belgium","ALL",0.0535546082127275,0.17593888024331,0.0385367024272098,0.0739747586024082,1031,14332,17
"journal","Bosnia and Herzegovina","ALL",0.0383290249569152,0.330031213240893,0.0204459174958698,0.0707243399695529,314,7950,9
"journal","Brazil","ALL",0.0307061574236689,0.0765660713760862,0.0265408359728302,0.0355013446603576,6710,149902,141
"journal","Bulgaria","ALL",0.106303094834695,0.049575628836968,0.0974188628308232,0.115893502584751,3233,30497,29
"journal","Canada","ALL",0.0281607768809875,0.110642361348747,0.0227958895958048,0.0347433707150628,1558,46862,45
"journal","Chile","ALL",0.0569186211259297,0.138526954178216,0.043980251372288,0.0733711577314509,1623,22323,29
"journal","China","ALL",0.0350907345319097,0.0886940576207487,0.0296574985468301,0.0414767897095709,6950,126698,117
"journal","Colombia","ALL",0.0392111004774005,0.144717020486412,0.029816161956195,0.0514094771419652,2218,78325,41
"journal","Costa Rica","ALL",0.0157133948108131,0.231354399809859,0.0100423611714442,0.0245076427484206,129,8114,5
"journal","Croatia","ALL",0.0336221121502336,0.114115616935957,0.0270661165459842,0.0416980521819739,1153,31186,42
"journal","Cuba","ALL",0.0936661106176373,0.124456687805124,0.0749101168433061,0.116526693795236,862,8788,8
"journal","Czech Republic","ALL",0.0697106574896683,0.0766289721549823,0.0605780300799264,0.0801027036918082,2934,36252,68
"journal","Denmark","ALL",0.0106180349382721,0.669609903839196,0.00288041076523554,0.0383419176423357,116,8488,5
"journal","Egypt","ALL",0.0287927043603627,0.226783169741788,0.0186532632950432,0.0441954732710893,628,13788,12
"journal","Finland","ALL",0.0213206480956948,0.287859804731637,0.0122400914128468,0.0368862307044671,315,11248,17
"journal","France","ALL",0.0300743447883429,0.0554067773733038,0.0270632531341566,0.0334089503666088,3605,90121,142
"journal","Germany","ALL",0.00905626604526899,0.0554417736105878,0.00813134186567769,0.0100853287761647,7252,441721,429
"journal","Greece","ALL",0.076769728844609,0.0860460615110282,0.0656376128590205,0.0896087813642785,2416,28232,26
"journal","Hong Kong","ALL",0.0163156986062157,0.482002594357347,0.00640732806713477,0.0409155266840024,257,19916,10
"journal","Hungary","ALL",0.0483889383887206,0.0957059762999032,0.0404473744732357,0.0577958556106109,1835,34084,27
"journal","India","ALL",0.0224757673935944,0.078410977712358,0.0193358710521986,0.0261119659993133,3862,128871,144
"journal","Indonesia","ALL",0.0482802335055512,0.164210038841924,0.0354651938668323,0.0654118428141893,1351,25444,21
"journal","Iran","ALL",0.0565894832233654,0.0546193135075794,0.0511382554420807,0.0625834736058898,6136,105337,88
"journal","Iraq","ALL",0.0174682943065943,0.415167825957427,0.00781814485772746,0.0385668794119605,128,5284,5
"journal","Ireland","ALL",0.0188502207630605,0.258107984394613,0.011451886298506,0.0308788499163109,82,4397,10
"journal","Israel","ALL",0.0484212232386025,0.27519461935245,0.0288168214846102,0.080260512154729,285,5203,7
"journal","Italy","ALL",0.0407975494817567,0.0622296582814578,0.0362830119393655,0.0458470883022159,5772,119747,153
"journal","Japan","ALL",0.0242296162751363,0.0813315253143225,0.0207333906400738,0.028298365839659,3085,107433,157
"journal","Lithuania","ALL",0.0619755537163257,0.303130110290709,0.0351903103948469,0.106889769518767,107,2348,5
"journal","Malaysia","ALL",0.0380225238698791,0.154086736253393,0.0283927791127437,0.050747722143414,770,18752,28
"journal","Mexico","ALL",0.0412382644220472,0.153905135464261,0.0308308142568067,0.0549596940575183,1573,28668,32
"journal","Nepal","ALL",0.017967819420568,0.743334955842495,0.00424418829148127,0.07282169404281,69,2919,5
"journal","Netherlands","ALL",0.0112472013197886,0.0665987938550703,0.00988447522468174,0.0127953721515307,4670,260390,328
"journal","New Zealand","ALL",0.0550689526946074,0.0669414808952754,0.0486269309258516,0.0623085098482388,3615,79432,63
"journal","Nigeria","ALL",0.0344860877209901,0.277145467065873,0.0203263853510489,0.0579264422898771,337,8265,8
"journal","Norway","ALL",0.0161327165001635,0.349029097936324,0.00820537860638634,0.031475715005706,131,7381,7
"journal","Pakistan","ALL",0.0450480097817711,0.179602280712041,0.0321101452172199,0.0628602587486141,1688,33519,31
"journal","Peru","ALL",0.0175633511358066,0.294317729608064,0.00994122947366134,0.03084740928192,106,5734,7
"journal","Philippines","ALL",0.02474113673338,0.371466548039905,0.0121009485107876,0.0499176238960922,178,4731,6
"journal","Poland","ALL",0.055253053726198,0.0629583940636116,0.0491541964376556,0.0620592436984517,8007,130631,144
"journal","Portugal","ALL",0.0421616919003878,0.25087981977955,0.0262143979002849,0.0671414785437206,397,6960,10
"journal","Romania","ALL",0.0492007617045741,0.11918744994381,0.0393544315416155,0.0613532699239467,1642,29154,41
