issue_id,issue_desc,issue_impact,issue_help,issue_url,issue_name,issue_filter,issue_overall_impact,issue_note_overall_impact_hdv,issue_severity,issue_data_related,issue_data_related_rule,issue_pour_category,issue_wcag_level,issue_difficulty_to_fix,issue_missing_label_related,violations,passes,total_checks
accesskeys,Ensures every accesskey attribute value is unique,serious,accesskey attribute value should be unique,https://dequeuniversity.com/rules/axe/4.9/accesskeys?application=playwright,Accesskey Not Unique,,minor,people can still access this,not severe,O,related to data download,,,Moderate,X,36,779,815
area-alt,Ensures <area> elements of image maps have alternate text,critical,Active <area> elements must have alternate text,https://dequeuniversity.com/rules/axe/4.9/area-alt?application=playwright,Area Has No Label,,critical,,severe,X,-,,A,Difficult,O,4402,3019,7421
aria-allowed-attr,Ensures an element's role supports its ARIA attributes,,Elements must only use supported ARIA attributes,https://dequeuniversity.com/rules/axe/4.9/aria-allowed-attr?application=playwright,ARIA With Error (unsupported attributes),,critical,,severe,O,related to any data aspects,,A,Difficult,X,2680,82522,85202
aria-allowed-role,Ensures role attribute has an appropriate value for the element,,ARIA role should be appropriate for the element,https://dequeuniversity.com/rules/axe/4.9/aria-allowed-role?application=playwright,ARIA With Error (disallowed roles),,minor,,severe,O,related to any data aspects,,,Moderate,X,1152,176091,177243
aria-command-name,"Ensures every ARIA button, link and menuitem has an accessible name",,ARIA commands must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-command-name?application=playwright,ARIA Role Has No Label,,critical,,severe,O,related to data filter/search,,A,Difficult,O,934,6066,7000
aria-conditional-attr,Ensures ARIA attributes are used as described in the specification of the element's role,,ARIA attributes must be used as specified for the element's role,https://dequeuniversity.com/rules/axe/4.9/aria-conditional-attr?application=playwright,ARIA With Error (wrong attribute usage),,critical,,severe,O,related to any data aspects,,A,Difficult,X,35,85167,85202
aria-deprecated-role,Ensures elements do not use deprecated roles,,Deprecated ARIA roles must not be used,https://dequeuniversity.com/rules/axe/4.9/aria-deprecated-role?application=playwright,ARIA With Error (deprecated roles),,minor,,severe,O,related to any data aspects,,A,Easy,X,0,70871,70871
aria-dialog-name,Ensures every ARIA dialog and alertdialog node has an accessible name,serious,ARIA dialog and alertdialog nodes should have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-dialog-name?application=playwright,Dialog Has No Label,,critical,,severe,O,can be related to data perceive,,,Difficult,O,167,729,896
aria-hidden-body,"Ensures aria-hidden=true"" is not present on the document body.""",,"aria-hidden=true"" must not be present on the document body""",https://dequeuniversity.com/rules/axe/4.9/aria-hidden-body?application=playwright,Body Uses Aria Hidden,,moderate,,severe,O,related to any data aspects,,A,Easy,X,1,8986,8987
aria-hidden-focus,Ensures aria-hidden elements are not focusable nor contain focusable elements,,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.9/aria-hidden-focus?application=playwright,Aria Hidden Has Focusable Element,,moderate,,severe,O,related to any data aspects,,A,Moderate,X,879,93060,93939
aria-input-field-name,Ensures every ARIA input field has an accessible name,serious,ARIA input fields must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-input-field-name?application=playwright,Aria Input Has No Label,,critical,,severe,O,related to data filter/search,,A,Difficult,O,200,93,293
aria-progressbar-name,Ensures every ARIA progressbar node has an accessible name,serious,ARIA progressbar nodes must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-progressbar-name?application=playwright,Progress Bar Has No Label,,minor,likely does not affect to data access,not severe,X,likely not directly related to data itself,,A,Difficult,O,38,2,40
aria-prohibited-attr,Ensures ARIA attributes are not prohibited for an element's role,,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.9/aria-prohibited-attr?application=playwright,ARIA With Error (disallowed attributes),,critical,,severe,O,related to any data aspects,,A,Difficult,X,702,79662,80364
aria-required-attr,Ensures elements with ARIA roles have all required ARIA attributes,,Required ARIA attributes must be provided,https://dequeuniversity.com/rules/axe/4.9/aria-required-attr?application=playwright,ARIA With Error (required attributes missing),,critical,,severe,O,related to any data aspects,,A,Difficult,O,98,73570,73668
aria-required-children,Ensures elements with an ARIA role that require child roles contain them,,Certain ARIA roles must contain particular children,https://dequeuniversity.com/rules/axe/4.9/aria-required-children?application=playwright,ARIA Role Bad Structre (no required children exist),,critical,,severe,O,related to any data aspects,,A,Difficult,X,595,4494,5089
aria-required-parent,Ensures elements with an ARIA role that require parent roles are contained by them,,Certain ARIA roles must be contained by particular parents,https://dequeuniversity.com/rules/axe/4.9/aria-required-parent?application=playwright,ARIA Role Bad Structre (no required parent exist),,critical,,severe,O,related to any data aspects,,A,Difficult,X,719,11511,12230
aria-roles,Ensures all elements with a role attribute use a valid value,,ARIA roles used must conform to valid values,https://dequeuniversity.com/rules/axe/4.9/aria-roles?application=playwright,ARIA With Error (role with invalid value),,critical,,severe,O,related to any data aspects,,A,Difficult,X,138,70733,70871
aria-text,"Ensures role=text"" is used on elements with no focusable descendants""",,"role=text"" should have no focusable descendants""",https://dequeuniversity.com/rules/axe/4.9/aria-text?application=playwright,,,,,,,,,,,,0,1,1
aria-toggle-field-name,Ensures every ARIA toggle field has an accessible name,,ARIA toggle fields must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-toggle-field-name?application=playwright,Toggle Has No Label,,critical,,severe,O,related to any data aspects,,A,Difficult,O,6,294,300
aria-tooltip-name,Ensures every ARIA tooltip node has an accessible name,,ARIA tooltip nodes must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-tooltip-name?application=playwright,Tooltip Has No Label,,critical,,severe,O,related to data representations,,A,Difficult,O,0,3,3
aria-treeitem-name,Ensures every ARIA treeitem node has an accessible name,,ARIA treeitem nodes should have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-treeitem-name?application=playwright,Treeitem Has No Label,,critical,,severe,O,related to data representations,,A,Difficult,O,0,53,53
aria-valid-attr,Ensures attributes that begin with aria- are valid ARIA attributes,,ARIA attributes must conform to valid names,https://dequeuniversity.com/rules/axe/4.9/aria-valid-attr?application=playwright,ARIA With Error (invalid attributes),,critical,,severe,O,related to any data aspects,,A,Difficult,X,101,85101,85202
aria-valid-attr-value,Ensures all ARIA attributes have valid values,,ARIA attributes must conform to valid values,https://dequeuniversity.com/rules/axe/4.9/aria-valid-attr-value?application=playwright,ARIA With Error (aria with invalid value),,critical,,severe,O,related to any data aspects,,A,Difficult,X,241,80548,80789
autocomplete-valid,Ensure the autocomplete attribute is correct and suitable for the form field,,autocomplete attribute must be used correctly,https://dequeuniversity.com/rules/axe/4.9/autocomplete-valid?application=playwright,Autocomplete Not Valid,,moderate,,severe,O,related to data filter/search,,AA,Difficult,X,3,3028,3031
avoid-inline-spacing,Ensure that text spacing set through style attributes can be adjusted with custom stylesheets,,Inline text spacing must be adjustable with custom stylesheets,https://dequeuniversity.com/rules/axe/4.9/avoid-inline-spacing?application=playwright,Small Line Spacing,,minor,,not severe,O,related to any data aspects,,AA,Moderate,X,13,301810,301823
blink,Ensures <blink> elements are not used,serious,<blink> elements are deprecated and must not be used,https://dequeuniversity.com/rules/axe/4.9/blink?application=playwright,Blink Is Used,,moderate,,severe,O,related to data perceive,,A,Easy,X,26,0,26
button-name,Ensures buttons have discernible text,,Buttons must have discernible text,https://dequeuniversity.com/rules/axe/4.9/button-name?application=playwright,Button Has No Label,,critical,,severe,O,related to data filter/search,,A,Difficult,O,1560,19853,21413
bypass,Ensures each page has at least one mechanism for a user to bypass navigation and jump straight to the content,,Page must have means to bypass repeated blocks,https://dequeuniversity.com/rules/axe/4.9/bypass?application=playwright,Bypass Not Supported,,moderate,,not severe,O,related to any data aspects,,A,Difficult,X,0,8097,8097
color-contrast,Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,serious,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=playwright,Low Color Contrast,,moderate,,severe,O,related to data representations,,AA,Moderate,X,98268,800485,898753
definition-list,Ensures <dl> elements are structured correctly,,"<dl> elements must only directly contain properly-ordered <dt> and <dd> groups, <script>, <template> or <div> elements",https://dequeuniversity.com/rules/axe/4.9/definition-list?application=playwright,Description List Has Bad Structure (dl structure),,critical,,severe,O,related to any data aspects,,A,Difficult,X,453,6263,6716
dlitem,Ensures <dt> and <dd> elements are contained by a <dl>,,<dt> and <dd> elements must be contained by a <dl>,https://dequeuniversity.com/rules/axe/4.9/dlitem?application=playwright,Description List Has Bad Structure (dl missing),,critical,,severe,O,related to any data aspects,,A,Difficult,X,296,19937,20233
document-title,Ensures each HTML document contains a non-empty <title> element,,Documents must have <title> element to aid in navigation,https://dequeuniversity.com/rules/axe/4.9/document-title?application=playwright,Document Has No Label,,critical,,severe,O,related to understanding page context,,A,Difficult,O,297,8766,9063
duplicate-id-aria,Ensures every id attribute value used in ARIA and in labels is unique,,IDs used in ARIA and labels must be unique,https://dequeuniversity.com/rules/axe/4.9/duplicate-id-aria?application=playwright,Aria Has Duplicated ID,,moderate,,severe,O,related to any data aspects,,A,Moderate,X,0,115205,115205
empty-heading,Ensures headings have discernible text,,Headings should not be empty,https://dequeuniversity.com/rules/axe/4.9/empty-heading?application=playwright,Heading Is Empty,,minor,,not severe,X,likely not directly related to data itself,,,Difficult,O,1494,101241,102735
empty-table-header,Ensures table headers have discernible text,minor,Table header text should not be empty,https://dequeuniversity.com/rules/axe/4.9/empty-table-header?application=playwright,Table Header No Label,,critical,related WCAG: https://www.w3.org/WAI/WCAG22/Understanding/info-and-relationships,severe,O,directly related to any data aspects,,A,Difficult,O,461,4724,5185
form-field-multiple-labels,Ensures form field does not have multiple label elements,,Form field must not have multiple label elements,https://dequeuniversity.com/rules/axe/4.9/form-field-multiple-labels?application=playwright,Form Has Multiple Labels,,minor,,not severe,O,related to data filter/search,,A,Moderate,X,0,16521,16521
frame-focusable-content,Ensures <frame> and <iframe> elements with focusable content do not have tabindex=-1,,Frames with focusable content must not have tabindex=-1,https://dequeuniversity.com/rules/axe/4.9/frame-focusable-content?application=playwright,Frame Not Focusable,,moderate,,severe,O,related to any data aspects,,A,Moderate,X,3,12,15
frame-tested,Ensures <iframe> and <frame> elements contain the axe-core script,,Frames should be tested with axe-core,https://dequeuniversity.com/rules/axe/4.9/frame-tested?application=playwright,-,O,,,,,,,,,,0,2417,2417
frame-title,Ensures <iframe> and <frame> elements have an accessible name,,Frames must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/frame-title?application=playwright,,,,,,,,,,,,1028,1370,2398
frame-title-unique,Ensures <iframe> and <frame> elements contain a unique title attribute,,Frames must have a unique title attribute,https://dequeuniversity.com/rules/axe/4.9/frame-title-unique?application=playwright,Frame With Error (duplicated title),,moderate,,not severe,O,related to any data aspects,,A,Moderate,X,0,1070,1070
heading-order,Ensures the order of headings is semantically correct,,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,Heading Has Bad Structure (order),,moderate,,not severe,X,likely not directly related to data itself,,A,Difficult,X,4102,98617,102719
html-has-lang,Ensures every HTML document has a lang attribute,,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.9/html-has-lang?application=playwright,Lang Is Missing,,moderate,,severe,O,related to any data aspects,,A,Moderate,X,2483,6581,9064
html-lang-valid,Ensures the lang attribute of the <html> element has a valid value,,<html> element must have a valid value for the lang attribute,https://dequeuniversity.com/rules/axe/4.9/html-lang-valid?application=playwright,Lang With Error (invalid),,moderate,,severe,O,related to any data aspects,,A,Moderate,X,58,7718,7776
html-xml-lang-mismatch,Ensure that HTML elements with both valid lang and xml:lang attributes agree on the base language of the page,,HTML elements with lang and xml:lang must have the same base language,https://dequeuniversity.com/rules/axe/4.9/html-xml-lang-mismatch?application=playwright,Lang with Error (conflicting language),,moderate,,severe,O,related to any data aspects,,A,Moderate,X,1,1106,1107
image-alt,Ensures <img> elements have alternate text or a role of none or presentation,,Images must have alternate text,https://dequeuniversity.com/rules/axe/4.9/image-alt?application=playwright,Image Has No Label,,critical,,severe,O,related to any data aspects,,A,Difficult,O,28854,77651,106505
image-redundant-alt,Ensure image alternative is not repeated as text,,Alternative text of images should not be repeated as text,https://dequeuniversity.com/rules/axe/4.9/image-redundant-alt?application=playwright,Image Has Duplicated Label,,minor,,not severe,X,-,,,Easy,X,1249,105032,106281
input-button-name,Ensures input buttons have discernible text,,Input buttons must have discernible text,https://dequeuniversity.com/rules/axe/4.9/input-button-name?application=playwright,Form Button Has No Label,,critical,,severe,O,related to data filter/search,,A,Difficult,O,264,3387,3651
input-image-alt,"Ensures <input type=image""> elements have alternate text""",,Image buttons must have alternate text,https://dequeuniversity.com/rules/axe/4.9/input-image-alt?application=playwright,Image Button Has No Label,,critical,,severe,O,related to data filter/search,,A,Difficult,O,79,152,231
label,Ensures every form element has a label,,Form elements must have labels,https://dequeuniversity.com/rules/axe/4.9/label?application=playwright,,,,,,,,,,,,4385,10183,14568
label-title-only,"Ensures that every form element has a visible label and is not solely labeled using hidden labels, or the title or aria-describedby attributes",serious,Form elements should have a visible label,https://dequeuniversity.com/rules/axe/4.9/label-title-only?application=playwright,,,,,,,,,,,,595,16016,16611
