,web_type,continent,country,publisher,fail_rate_meta,se,ci_95L,ci_95U,total_violations,total_checks,units
67,Journal Websites,Africa,,ALL,0.0360032467500667,0.076621370487562,0.0311391861629818,0.0415944737283357,2731,65869,71
68,Journal Websites,Asia,,ALL,0.0462646276444102,0.0277855606757112,0.043920190555225,0.0487278314076012,64754,1027465,1119
69,Journal Websites,Europe,,ALL,0.0251408870226631,0.0182067963830298,0.0242809607491794,0.0260304556718433,98399,2644802,2555
70,Journal Websites,North America,,ALL,0.0207732509403622,0.0347393441491538,0.019432492723906,0.0222044209327015,26162,841936,898
71,Journal Websites,Oceania,,ALL,0.0435175176737221,0.0652559593680191,0.0384940065858459,0.0491630822363002,4330,111250,95
72,Journal Websites,South America,,ALL,0.0346715980361454,0.0577042157977343,0.0310791518181729,0.0386627261933422,12281,288977,256
372,Data Portals,Africa,,,0.0539757061083445,0.184922928926226,0.0381924520222241,0.0757676619196681,392,9268,16
373,Data Portals,Asia,,,0.0747397437695159,0.0296659777760236,0.0708169547464977,0.0788613869245565,34204,480909,1034
374,Data Portals,Europe,,,0.0597568618109792,0.0293276031921258,0.0566077892506911,0.0630694046518058,34500,776663,976
375,Data Portals,North America,,,0.0542899352182018,0.0288782047191954,0.0514561796444413,0.0572703268670169,43961,935868,916
376,Data Portals,Oceania,,,0.0539016225881073,0.0971143518666599,0.0449794728609202,0.0644740936538102,1263,31690,64
377,Data Portals,South America,,,0.074976014404441,0.11741637419795,0.0604955198238544,0.0925810689269048,1556,23892,44
