,web_type,continent,country,publisher,fail_rate_meta,se,ci_95L,ci_95U,total_violations,total_checks,units
22,Journal Websites,,Germany,ALL,0.0090562660452689,0.055441773610588,0.0081313418656776,0.0100853287761646,7252,441721,429
32,Journal Websites,,Italy,ALL,0.0411448152588971,0.0621529304313014,0.0365986183342335,0.0462286325037409,5775,119757,154
33,Journal Websites,,Japan,ALL,0.0246575360534961,0.0813252158848803,0.0211011542047205,0.0287956774353829,3090,107444,158
38,Journal Websites,,Netherlands,ALL,0.0113768180124665,0.0665916449402462,0.0099986848885381,0.0129424179653002,4675,260403,329
45,Journal Websites,,Poland,ALL,0.0555135283932197,0.0628500555735594,0.0493973927259299,0.0623372739692865,8009,130641,145
48,Journal Websites,,Russia,ALL,0.117525711666169,0.0467776532536931,0.108345354509248,0.127372822952531,22805,145755,155
56,Journal Websites,,Spain,ALL,0.045631623114749,0.0523288224840892,0.0413675342341268,0.0503121781792588,6868,118123,170
58,Journal Websites,,Switzerland,ALL,0.0432219195014467,0.0350140680515274,0.0404712658975825,0.04615053116996,24735,375047,222
64,Journal Websites,,United Kingdom,ALL,0.0196988086316806,0.0452519025020273,0.0180571070470392,0.021486503098067,18787,758441,525
65,Journal Websites,,United States,ALL,0.0191468446466214,0.037891569958342,0.0178007964782671,0.020592543354184,21975,747017,803
342,Data Portals,,Canada,,0.0611747480972837,0.0802369733734874,0.0527421471400644,0.0708547354184196,5128,127260,104
343,Data Portals,,China,,0.0795981849013635,0.0325127874307235,0.0750529288548409,0.0843935892340068,16513,239984,540
347,Data Portals,,France,,0.0610166077436322,0.0651955559866145,0.0540933489181576,0.068761542249915,7235,97618,124
348,Data Portals,,Germany,,0.0633694813797821,0.0873587423019401,0.0539352637633762,0.0743242651755218,5424,234355,165
351,Data Portals,,India,,0.0706738919505681,0.0910073957213863,0.0598186835124096,0.0833243968505568,9237,93726,213
354,Data Portals,,Italy,,0.0709976934182467,0.0913258602976086,0.0600607198683462,0.0837488219042265,2000,31387,65
355,Data Portals,,Japan,,0.0623136716011508,0.0645707057062081,0.0553158634013783,0.0701310269427612,4015,65069,136
367,Data Portals,,Spain,,0.0680746660164808,0.0940830679896277,0.057267624742881,0.0807464383654724,1947,33170,70
370,Data Portals,,United Kingdom,,0.0532047567050713,0.0655578519920919,0.0470915130337738,0.0600615784478705,7217,154615,226
371,Data Portals,,United States,,0.053269025766443,0.0311929052203508,0.0502686797630975,0.0564378092056508,38752,807287,807
