"web_type","continent","country","publisher","fail_rate_meta","se","ci_95L","ci_95U","total_violations","total_checks","units"
"journal","ALL","ALL","ALL",0.0288747902689554,0.0136590994614736,0.028133488117745,0.0296350297146535,208657,4980299,4994
"journal",NA,"Argentina","ALL",0.0421416028860195,0.165328750691008,0.0308374374291477,0.0573443833203578,1135,21764,24
"journal",NA,"Australia","ALL",0.0261185245956225,0.159523763120345,0.0192405795977285,0.035366473795537,715,31818,32
"journal",NA,"Austria","ALL",0.00457590197854198,0.333920513862572,0.0023834089668194,0.00876753957472728,247,20700,23
"journal",NA,"Bangladesh","ALL",0.00786458123169267,0.302905734129325,0.00435886732698637,0.014149771231841,26,3729,5
"journal",NA,"Belarus","ALL",0.0481438370939561,0.499729274112503,0.0186392203573444,0.118703072432544,281,3024,7
"journal",NA,"Belgium","ALL",0.0572328503084212,0.173356491343537,0.041428950284451,0.0785713072037388,1035,14346,18
"journal",NA,"Bosnia and Herzegovina","ALL",0.0383290249569153,0.330031213240892,0.0204459174958699,0.070724339969553,314,7950,9
"journal",NA,"Brazil","ALL",0.030706157423669,0.076566071376086,0.0265408359728303,0.0355013446603576,6710,149902,141
"journal",NA,"Bulgaria","ALL",0.106303094834695,0.049575628836968,0.0974188628308233,0.115893502584751,3233,30497,29
"journal",NA,"Canada","ALL",0.0281607768809875,0.110642361348748,0.0227958895958048,0.0347433707150628,1558,46862,45
"journal",NA,"Chile","ALL",0.0569186211259297,0.138526954178216,0.0439802513722881,0.0733711577314509,1623,22323,29
"journal",NA,"China","ALL",0.0358333322939221,0.0884668415710618,0.0303018090349547,0.0423305423300603,6956,126711,118
"journal",NA,"Colombia","ALL",0.0392111004774006,0.144717020486412,0.0298161619561951,0.0514094771419652,2218,78325,41
"journal",NA,"Costa Rica","ALL",0.015713394810813,0.231354399809861,0.0100423611714442,0.0245076427484206,129,8114,5
"journal",NA,"Croatia","ALL",0.0336221121502337,0.114115616935957,0.0270661165459843,0.0416980521819739,1153,31186,42
"journal",NA,"Cuba","ALL",0.0936661106176374,0.124456687805127,0.0749101168433058,0.116526693795237,862,8788,8
"journal",NA,"Czech Republic","ALL",0.0697106574896685,0.0766289721549825,0.0605780300799265,0.0801027036918084,2934,36252,68
"journal",NA,"Denmark","ALL",0.0106180349382721,0.669609903839196,0.00288041076523554,0.0383419176423357,116,8488,5
"journal",NA,"Egypt","ALL",0.0287927043603626,0.226783169741788,0.0186532632950431,0.0441954732710893,628,13788,12
"journal",NA,"Finland","ALL",0.0213206480956948,0.287859804731637,0.0122400914128468,0.036886230704467,315,11248,17
"journal",NA,"France","ALL",0.0307275608772121,0.0556174106391519,0.0276418345792756,0.0341456579982776,3613,90146,144
"journal",NA,"Germany","ALL",0.0090562660452689,0.055441773610588,0.00813134186567761,0.0100853287761646,7252,441721,429
"journal",NA,"Greece","ALL",0.076769728844609,0.0860460615110276,0.0656376128590206,0.0896087813642784,2416,28232,26
"journal",NA,"Hong Kong","ALL",0.0163156986062157,0.482002594357347,0.00640732806713475,0.0409155266840023,257,19916,10
"journal",NA,"Hungary","ALL",0.0483889383887205,0.0957059762999039,0.0404473744732355,0.0577958556106108,1835,34084,27
"journal",NA,"India","ALL",0.0224757673935944,0.078410977712358,0.0193358710521986,0.0261119659993133,3862,128871,144
"journal",NA,"Indonesia","ALL",0.0482802335055513,0.164210038841925,0.0354651938668323,0.0654118428141895,1351,25444,21
"journal",NA,"Iran","ALL",0.0565894832233654,0.0546193135075793,0.0511382554420807,0.0625834736058898,6136,105337,88
"journal",NA,"Iraq","ALL",0.0174682943065943,0.415167825957427,0.00781814485772744,0.0385668794119605,128,5284,5
"journal",NA,"Ireland","ALL",0.0188502207630604,0.258107984394614,0.0114518862985059,0.0308788499163108,82,4397,10
"journal",NA,"Israel","ALL",0.0484212232386025,0.27519461935245,0.0288168214846101,0.0802605121547289,285,5203,7
"journal",NA,"Italy","ALL",0.0411448152588971,0.0621529304313014,0.0365986183342335,0.0462286325037409,5775,119757,154
"journal",NA,"Japan","ALL",0.0246575360534961,0.0813252158848803,0.0211011542047205,0.0287956774353829,3090,107444,158
"journal",NA,"Lithuania","ALL",0.0619755537163257,0.303130110290709,0.0351903103948469,0.106889769518767,107,2348,5
"journal",NA,"Malaysia","ALL",0.0380225238698792,0.154086736253392,0.0283927791127438,0.0507477221434141,770,18752,28
"journal",NA,"Mexico","ALL",0.0412382644220471,0.153905135464262,0.0308308142568066,0.0549596940575182,1573,28668,32
"journal",NA,"Nepal","ALL",0.017967819420568,0.743334955842496,0.00424418829148127,0.07282169404281,69,2919,5
"journal",NA,"Netherlands","ALL",0.0113768180124665,0.0665916449402462,0.00999868488853814,0.0129424179653002,4675,260403,329
"journal",NA,"New Zealand","ALL",0.0550689526946073,0.0669414808952752,0.0486269309258516,0.0623085098482386,3615,79432,63
"journal",NA,"Nigeria","ALL",0.0344860877209901,0.277145467065873,0.0203263853510489,0.0579264422898773,337,8265,8
"journal",NA,"Norway","ALL",0.0161327165001635,0.349029097936324,0.00820537860638632,0.031475715005706,131,7381,7
"journal",NA,"Pakistan","ALL",0.0450480097817712,0.17960228071204,0.03211014521722,0.0628602587486142,1688,33519,31
"journal",NA,"Peru","ALL",0.0175633511358066,0.294317729608065,0.00994122947366132,0.0308474092819199,106,5734,7
"journal",NA,"Philippines","ALL",0.0247411367333799,0.371466548039906,0.0121009485107875,0.0499176238960922,178,4731,6
"journal",NA,"Poland","ALL",0.0555135283932197,0.0628500555735594,0.0493973927259299,0.0623372739692865,8009,130641,145
"journal",NA,"Portugal","ALL",0.0421616919003879,0.250879819779549,0.026214397900285,0.0671414785437206,397,6960,10
"journal",NA,"Romania","ALL",0.049200761704574,0.119187449943809,0.0393544315416155,0.0613532699239466,1642,29154,41
"journal",NA,"Russia","ALL",0.117525711666169,0.0467776532536931,0.108345354509248,0.127372822952531,22805,145755,155
"journal",NA,"Saudi Arabia","ALL",0.0324359940824145,0.183330345526287,0.022869105624152,0.0458173631261439,110,3007,5
"journal",NA,"Serbia","ALL",0.0321453647591006,0.180499487240098,0.022785403668776,0.045172545484702,381,10957,16
"journal",NA,"Singapore","ALL",0.0131046204573245,0.237775806115173,0.00826332006231537,0.0207230650494987,345,16378,17
"journal",NA,"Slovakia","ALL",0.0583830463090892,0.226000581456368,0.0382899325413684,0.0880548430844579,517,9759,14
"journal",NA,"Slovenia","ALL",0.0401620218347531,0.174165299553818,0.0288828141851361,0.0555937853817045,275,7054,11
"journal",NA,"South Africa","ALL",0.0310831401350819,0.096362067487972,0.0258720497330531,0.0373036426769977,1075,32945,37
"journal",NA,"South Korea","ALL",0.0853490631741887,0.0689320980151572,0.0753760548604545,0.0965038800457766,3665,62631,92
"journal",NA,"Spain","ALL",0.045631623114749,0.0523288224840892,0.0413675342341268,0.0503121781792588,6868,118123,170
"journal",NA,"Sweden","ALL",0.0113195458042279,0.499896076654504,0.00427955061583436,0.029596325629462,138,15741,8
"journal",NA,"Switzerland","ALL",0.0432219195014467,0.0350140680515274,0.0404712658975825,0.04615053116996,24735,375047,222
"journal",NA,"Taiwan","ALL",0.0413126028821979,0.193422488791401,0.028650970008864,0.059228561512227,552,12260,18
"journal",NA,"Thailand","ALL",0.0474824889221905,0.208872620690195,0.0320423361892894,0.0698260353147556,574,12424,14
"journal",NA,"Turkey","ALL",0.0961547344447807,0.0470935737793996,0.0884264477578168,0.104481041354595,8429,82686,97
"journal",NA,"Ukraine","ALL",0.0261307533334426,0.164842293361266,0.0190538366258257,0.035740388552644,542,17402,28
"journal",NA,"United Arab Emirates","ALL",0.0330324437231515,0.0321828640336301,0.0310759513287223,0.0351076505870947,2882,89570,80
"journal",NA,"United Kingdom","ALL",0.0196988086316806,0.0452519025020273,0.0180571070470392,0.021486503098067,18787,758441,525
"journal",NA,"United States","ALL",0.0191468446466214,0.037891569958342,0.0178007964782671,0.020592543354184,21975,747017,803
"journal",NA,"Venezuela","ALL",0.0356194090131483,0.449260812126187,0.0150809017461244,0.0818058335342483,372,6322,9
"journal","Africa",NA,"ALL",0.0360032467500667,0.076621370487562,0.0311391861629818,0.0415944737283357,2731,65869,71
"journal","Asia",NA,"ALL",0.0462646276444102,0.0277855606757112,0.043920190555225,0.0487278314076012,64754,1027465,1119
"journal","Europe",NA,"ALL",0.0251408870226631,0.0182067963830298,0.0242809607491794,0.0260304556718433,98399,2644802,2555
"journal","North America",NA,"ALL",0.0207732509403622,0.0347393441491538,0.019432492723906,0.0222044209327015,26162,841936,898
"journal","Oceania",NA,"ALL",0.0435175176737221,0.0652559593680191,0.0384940065858459,0.0491630822363002,4330,111250,95
"journal","South America",NA,"ALL",0.0346715980361454,0.0577042157977343,0.0310791518181729,0.0386627261933422,12281,288977,256
"journal",NA,NA,"ABV-press Publishing house",0.219781361664778,0.0322166955418868,0.209145387050769,0.230800372400792,1797,8203,6
"journal",NA,NA,"Academic Press Inc.",0.0195121951219512,0.119018001527806,0.0155154554927278,0.0245128492099919,72,3690,18
"journal",NA,NA,"Adis International Ltd",0.00106148004102975,0.333518977104833,0.000552384190833379,0.00203881860853562,9,8797,8
"journal",NA,NA,"Advanstar Communications Inc.",0.0644020983183766,0.169771102628799,0.0470305783417538,0.0876002527625119,668,8594,5
"journal",NA,NA,"Agricultural Research Communication Centre",0.0247274642300105,0.0840922556065095,0.0210491715870616,0.0290294691940868,145,5867,5
"journal",NA,NA,"Akademiai Kiado",0.0662655130089552,0.0661576725145297,0.0586797243846498,0.0747540729300236,1546,25474,16
"journal",NA,NA,"AME Publishing Company",0.010839171151597,0.185743202766664,0.00755666177260293,0.015525251563174,828,51076,25
"journal",NA,NA,"American Psychological Association",0.0748299319727892,0.0385852130739621,0.0697597791592491,0.0802367998621058,726,9702,66
"journal",NA,NA,"AOSIS (Pty) Ltd",0.0294248037465616,0.0478524300051212,0.0268613024665821,0.0322248507642463,450,15350,14
"journal",NA,NA,"Begell House Inc.",0.00473171448078871,0.183009093816927,0.00331024954423152,0.00675943562714562,30,6361,10
"journal",NA,NA,"Bentham Science Publishers",0.0375662402485633,0.101131997054395,0.031021120596025,0.0454275675711665,280,7531,9
"journal",NA,NA,"Bentham Science Publishers B.V.",0.0310727999471564,0.0342498455283111,0.029114135436188,0.0331587340097463,3659,122483,96
"journal",NA,NA,"BioMed Central Ltd.",0.014046401900808,0.0453728065576207,0.0128665783058484,0.0153327310935309,1632,115260,118
"journal",NA,NA,"Birkhauser Verlag Basel",0.000894705064013638,0.378133936676217,0.000426594387449414,0.00187551927935758,7,7836,7
