,resource_category,website_id,page_id,page_type,page_url,rank,sourceid,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs_2022_,total_docs_3years_,total_refs_,total_cites_3years_,citable_docs_3years_,cites_doc_2years_,ref_doc_,region,publisher,coverage,categories,areas,country,url,continent,violations,passes,total_checks,failure_rate
3964,journal,3-Biotech,0,home,https://link.springer.com/journal/13205,9715.0,21100447128.0,3 Biotech,journal,"2190572X, 21905738","0,534",Q2,60.0,346.0,1511.0,23462.0,5149.0,1511.0,"3,19","67,81",Western Europe,Springer International Publishing AG,"2012, 2014-2022",Agricultural and Biological Sciences;Biotechnology,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science",Switzerland,https://link.springer.com/journal/13205,Europe,1,1132,1133,0.00088261253309797
3965,journal,AANA-Journal,0,home,https://www.aana.com/practice/aana-journal/,18814.0,26729.0,AANA Journal,journal,"00946354, 21625239","0,207",Q2,35.0,58.0,222.0,1581.0,148.0,191.0,"0,63","27,26",Northern America,AANA Publishing Inc.,1973-2022,Medical and Surgical Nursing;Advanced and Specialized Nursing;Anesthesiology and Pain Medicine;Medicine,Medicine; Nursing,United States,https://www.aana.com/publications/aana-journal,North America,3,1575,1578,0.0019011406844106464
3966,journal,AAO-Journal,0,home,https://www.academyofosteopathy.org/aao-journal,26412.0,5100155055.0,AAO Journal,journal,"23755776, 23755717","0,102",Q4,5.0,0.0,36.0,0.0,1.0,26.0,"0,00","0,00",Northern America,American Academy Of Osteopathy,"2006-2012, 2014-2020",Advanced and Specialized Nursing;Complementary and Alternative Medicine;Complementary and Manual Therapy,Health Professions; Medicine; Nursing,United States,https://www.academyofosteopathy.org/aao-journal,North America,34,1198,1232,0.027597402597402596
3967,journal,AAPS-Journal,0,home,https://link.springer.com/journal/12248,5300.0,4000148019.0,AAPS Journal,journal,15507416,"0,865",Q1,126.0,112.0,357.0,5076.0,1365.0,335.0,"4,04","45,32",Northern America,Springer New York,1999-2022,Pharmaceutical Science,"Pharmacology, Toxicology and Pharmaceutics",United States,https://www.springer.com/journal/12248,North America,1,1163,1164,0.000859106529209622
3968,journal,AAPS-PharmSciTech,0,home,https://link.springer.com/journal/12249,9925.0,19374.0,AAPS PharmSciTech,journal,15309932,"0,523",Q2,110.0,290.0,893.0,15848.0,3367.0,883.0,"3,55","54,65",Western Europe,Springer International Publishing AG,2000-2022,Agronomy and Crop Science;Drug Discovery;Medicine;Pharmaceutical Science,"Agricultural and Biological Sciences; Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics",Switzerland,https://www.springer.com/journal/12249,Europe,1,1120,1121,0.0008920606601248885
3969,journal,AAS-Open-Research,0,home,https://openresearchafrica.org/,14613.0,21101061448.0,AAS Open Research,journal,25159321,"0,316",Q2,4.0,0.0,42.0,0.0,48.0,37.0,"1,05","0,00",Western Europe,,2018-2021,Multidisciplinary,Multidisciplinary,United Kingdom,https://openresearchafrica.org/,Europe,8,794,802,0.00997506234413965
3970,journal,ACM-Transactions-on-Applied-Perception,0,home,https://dl.acm.org/journal/tap,13634.0,12100154833.0,ACM Transactions on Applied Perception,journal,"15443965, 15443558","0,352",Q2,56.0,19.0,55.0,959.0,129.0,53.0,"2,15","50,47",Northern America,Association for Computing Machinery (ACM),2004-2022,Experimental and Cognitive Psychology,Computer Science; Mathematics; Psychology,United States,https://dl.acm.org/journal/tap,North America,13,3100,3113,0.004176035978156119
3971,journal,ACM-Transactions-on-Computing-for-Healthcare,0,home,https://dl.acm.org/journal/health,6986.0,21101079108.0,ACM Transactions on Computing for Healthcare,journal,"26378051, 26911957","0,710",Q2,11.0,48.0,62.0,3391.0,202.0,59.0,"3,26","70,65",Northern America,Association for Computing Machinery (ACM),2020-2022,Biomedical Engineering;Health Informatics;Medicine;Health Information Management,Computer Science; Engineering; Health Professions; Medicine,United States,https://dl.acm.org/journal/health,North America,14,3176,3190,0.00438871473354232
3972,journal,ADHD-Attention-Deficit-and-Hyperactivity-Disorders,0,home,https://link.springer.com/journal/12402/volumes-and-issues,5861.0,19600157796.0,ADHD Attention Deficit and Hyperactivity Disorders,journal,"18666647, 18666116","0,809",Q2,36.0,0.0,45.0,0.0,149.0,42.0,"0,00","0,00",Western Europe,Springer-Verlag Wien,2009-2019,Clinical Psychology;Medicine;Psychiatry and Mental Health,Medicine; Psychology,Austria,https://www.springer.com/journal/12402,Europe,1,949,950,0.0010526315789473684
3973,journal,ADMET-and-DMPK,0,home,https://pub.iapchem.org/ojs/index.php/admet/index,14848.0,21100841779.0,ADMET and DMPK,journal,18487718,"0,309",Q2,18.0,16.0,63.0,789.0,129.0,60.0,"2,16","49,31",Eastern Europe,International Association of Physical Chemists,2013-2022,"Pharmacology, Toxicology and Pharmaceutics;Health;Medicine;Pharmacology","Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences",Croatia,http://pub.iapchem.org/ojs/index.php/admet/index,Europe,16,973,989,0.016177957532861477
3974,journal,AIDS-Care-Psychological-and-Socio-Medical-Aspects-of-AIDS-HIV,0,home,https://taylorandfrancis.com/,7230.0,21321.0,AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,journal,"13600451, 09540121","0,690",Q2,105.0,354.0,706.0,11643.0,1520.0,705.0,"2,00","32,89",Western Europe,Routledge,1989-2022,"Health;Public Health, Environmental and Occupational Health;Social Psychology",Medicine; Psychology; Social Sciences,United Kingdom,http://www.informaworld.com/smpp/title~content=t713403300~db=all,Europe,12,1221,1233,0.009732360097323601
3975,journal,AIDS-Research-and-Therapy,0,home,https://aidsrestherapy.biomedcentral.com/,6618.0,4700153004.0,AIDS Research and Therapy,journal,17426405,"0,740",Q2,45.0,69.0,205.0,2803.0,521.0,205.0,"2,24","40,62",Western Europe,BioMed Central Ltd.,2004-2022,Molecular Medicine;Pharmacology;Virology,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine",United Kingdom,https://aidsrestherapy.biomedcentral.com/,Europe,12,1074,1086,0.011049723756906077
