"web_type","continent","country","publisher","fail_rate_meta","se","ci_95L","ci_95U","total_violations","total_checks","units"
"journal","ALL","ALL","ALL",0.0275213967536855,0.00896023416749154,0.0270552547945278,0.0279953389021992,351835,8137214,10844
"journal",NA,"Argentina","ALL",0.0426517465797302,0.146270439252011,0.0323647984176452,0.0560190481737928,1249,27632,34
"journal",NA,"Australia","ALL",0.0264837895432698,0.121065535210032,0.0210070625635606,0.0333397227158799,1063,40320,64
"journal",NA,"Austria","ALL",0.0146906448563816,0.283565982048037,0.00848004024307408,0.0253335511509174,629,38776,30
"journal",NA,"Bangladesh","ALL",0.00783193357013996,0.314320426267793,0.0042450829220573,0.0144056215067524,25,3589,5
"journal",NA,"Belarus","ALL",0.0506952588271077,0.485215555103156,0.02021511429703,0.121436951761352,297,3097,7
"journal",NA,"Belgium","ALL",0.0757575067588652,0.117508741588827,0.0611256636266906,0.0935428587745295,1426,17138,26
"journal",NA,"Bosnia and Herzegovina","ALL",0.0393213556974191,0.282497138921104,0.0229873305620304,0.0664721356633238,329,8023,10
"journal",NA,"Brazil","ALL",0.0410861948615292,0.0628817965150252,0.0364959613233748,0.0462260606196865,7831,149416,170
"journal",NA,"Bulgaria","ALL",0.110975160126687,0.0490853952401489,0.101832763432629,0.120827929114006,3750,33946,35
"journal",NA,"Canada","ALL",0.0214417515203358,0.0993990505758416,0.0177134497302492,0.0259340628192126,2516,98960,97
"journal",NA,"Chile","ALL",0.0507032136125659,0.137032526433023,0.0392293320217431,0.0653048958756619,1642,24406,32
"journal",NA,"China","ALL",0.0458645895765705,0.0572032201551994,0.041200621944214,0.0510284257684834,13431,202079,222
"journal",NA,"Colombia","ALL",0.0361890426654621,0.0883226541409077,0.0306127373007277,0.0427363269276518,2561,54757,48
"journal",NA,"Costa Rica","ALL",0.0212017240084805,0.209296621887045,0.0141686025959448,0.0316140452471534,85,4085,5
"journal",NA,"Croatia","ALL",0.033969105516896,0.112957911276101,0.0274077848219633,0.0420332971304898,1286,34942,48
"journal",NA,"Cuba","ALL",0.0816594166811368,0.0975572808034281,0.0684198054683634,0.097193673715906,1200,15102,16
"journal",NA,"Czech Republic","ALL",0.0713448304807584,0.0731262924661178,0.0624129104669934,0.0814439631050548,2987,36726,71
"journal",NA,"Denmark","ALL",0.014264174369632,0.342398795849744,0.00734235211168398,0.0275303996382431,136,11765,21
"journal",NA,"Egypt","ALL",0.0463138812874041,0.0710051439831797,0.0405408202165158,0.0528637380374982,3828,85860,68
"journal",NA,"Finland","ALL",0.025040806338756,0.243240357968288,0.015694419251146,0.0397285272463637,373,11496,19
"journal",NA,"France","ALL",0.0301960569094677,0.0516158055622336,0.0273702267859545,0.0333036491139695,4139,107387,206
"journal",NA,"Germany","ALL",0.0135857026502644,0.0454080711554482,0.0124432375890196,0.0148314868068579,9177,529796,588
"journal",NA,"Greece","ALL",0.0653061110577868,0.0837125811679075,0.0559771334883622,0.0760645545120457,3244,40580,35
"journal",NA,"Hong Kong","ALL",0.0142771254948228,0.406960529935646,0.00648121745419398,0.0311562454972122,294,21917,12
"journal",NA,"Hungary","ALL",0.0448936600290232,0.112671277523275,0.0363211545993497,0.0553731869450424,1491,26443,28
