source_id,name,page_type,url,note
21206,Nature,Home,https://www.nature.com/,
21206,Nature,Latest Open Access Research Article,https://www.nature.com/articles/s41586-023-06849-0,
21206,Nature,Latest None-research Article,https://www.nature.com/articles/d41586-023-03635-w,
21206,Nature,Article Search Result,https://www.nature.com/search?q=data&journal=,
21206,Nature,Latest Issue,https://www.nature.com/nature/volumes/623/issues/7987,
23571,Science,Home,https://www.science.org/,
23571,Science,Latest Open Access Research Article,https://www.science.org/doi/10.1126/science.abp8948,
23571,Science,Latest None-research Article,https://www.science.org/content/article/misconduct-concerns-possible-drug-risks-should-stop-stroke-trial-whistleblowers-say,
23571,Science,Article Search Result,https://www.science.org/action/doSearch?AllField=Data,
23571,Science,Latest Issue,https://www.science.org/toc/science/current,
15847,New England Journal of Medicine,Home,https://www.nejm.org/,
15847,New England Journal of Medicine,Latest Open Access Research Article,https://www.nejm.org/doi/full/10.1056/NEJMoa2309457,
15847,New England Journal of Medicine,Latest None-research Article,https://www.nejm.org/doi/full/10.1056/NEJMp2310001,
15847,New England Journal of Medicine,Article Search Result,https://www.nejm.org/search?q=data,
15847,New England Journal of Medicine,Latest Issue,https://www.nejm.org/toc/nejm/medical-journal?query=main_nav_lg,
18434,Cell,Home,https://www.cell.com/,
18434,Cell,Latest Open Access Research Article,https://www.cell.com/cell/fulltext/S0092-8674(23)01079-6,
18434,Cell,Latest None-research Article,https://www.cell.com/patterns/fulltext/S2666-3899(21)00235-X,
18434,Cell,Article Search Result,https://www.cell.com/action/doSearch?type=quicksearch&text1=data&field1=AllField,
18434,Cell,Latest Issue,https://www.cell.com/cell/current,
16590,"Lancet, The",Home,https://www.thelancet.com/,
16590,"Lancet, The",Latest Open Access Research Article,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(23)01796-8/fulltext,"(COMMENT FOR ALL) Added filters while searching to obtain results for only the main journal (i.e. ""The Lancet"" instead of ""The Lancet Neurology""  (Sofia)"
16590,"Lancet, The",Latest None-research Article,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(23)00428-X/fulltext,Used the most recent open access option (sofia)
16590,"Lancet, The",Article Search Result,https://www.thelancet.com/action/doSearch?type=quicksearch&text1=data&field1=AllField&journalCode=lancet&SeriesKey=lancet,
16590,"Lancet, The",Latest Issue,https://www.thelancet.com/issue/S0140-6736(23)X0046-4,
85291,JAMA - Journal of the American Medical Association,Home,https://jamanetwork.com/journals/jama,
85291,JAMA - Journal of the American Medical Association,Latest Open Access Research Article,https://jamanetwork.com/journals/jama/fullarticle/2810756,
85291,JAMA - Journal of the American Medical Association,Latest None-research Article,https://jamanetwork.com/journals/jama/fullarticle/2812402,
85291,JAMA - Journal of the American Medical Association,Article Search Result,https://jamanetwork.com/searchresults?q=data&allSites=1&SearchSourceType=1&exPrm_qqq={DEFAULT_BOOST_FUNCTION}%22data%22&exPrm_hl.q=data,
85291,JAMA - Journal of the American Medical Association,Latest Issue,https://jamanetwork.com/journals/jama/currentissue,
22581,Circulation,Home,https://www.ahajournals.org/journal/circ,
22581,Circulation,Latest Open Access Research Article,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.123.065603,
22581,Circulation,Latest None-research Article,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.123.067528,
22581,Circulation,Article Search Result,https://www.ahajournals.org/action/doSearch?AllField=data&startPage=&SeriesKey=circ,
22581,Circulation,Latest Issue,https://www.ahajournals.org/toc/circ/148/21,
18990,Nature Genetics,Home,https://www.nature.com/ng/,
18990,Nature Genetics,Latest Open Access Research Article,https://www.nature.com/articles/s41588-023-01559-9,
18990,Nature Genetics,Latest None-research Article,https://www.nature.com/articles/s41588-023-01599-1,
18990,Nature Genetics,Article Search Result,https://www.nature.com/search?q=data&journal=,
18990,Nature Genetics,Latest Issue,https://www.nature.com/nature/volumes/623/issues/7988,
14204,Nucleic Acids Research,Home,https://academic.oup.com/nar,
14204,Nucleic Acids Research,Latest Open Access Research Article,https://academic.oup.com/nar/article/51/20/10867/6613920,
14204,Nucleic Acids Research,Latest None-research Article,,Does not seem to exist? (Sehi)
14204,Nucleic Acids Research,Article Search Result,https://academic.oup.com/nar/search-results?page=1&q=data&fl_SiteID=5127&SearchSourceType=1&allJournals=1,
14204,Nucleic Acids Research,Latest Issue,https://academic.oup.com/nar/issue/51/20,
15819,Nature Medicine,Home,https://www.nature.com/nm/,
15819,Nature Medicine,Latest Open Access Research Article,https://www.nature.com/articles/s41591-023-02645-5,
15819,Nature Medicine,Latest None-research Article,https://www.nature.com/articles/s41591-023-02723-8,
15819,Nature Medicine,Article Search Result,https://www.nature.com/search?q=data&journal=,
15819,Nature Medicine,Latest Issue,https://www.nature.com/nm/volumes/29/issues/11,
29949,Journal of Clinical Oncology,Home,https://ascopubs.org/journal/jco,
29949,Journal of Clinical Oncology,Latest Open Access Research Article,https://ascopubs.org/doi/abs/10.1200/JCO.23.00825,
29949,Journal of Clinical Oncology,Latest None-research Article,https://ascopubs.org/doi/abs/10.1200/JCO.23.01785,
29949,Journal of Clinical Oncology,Article Search Result,https://ascopubs.org/action/doSearch?SeriesKey=jco&AllField=data&ConceptID=,
29949,Journal of Clinical Oncology,Latest Issue,https://ascopubs.org/toc/jco/current,
17592,Journal of Biological Chemistry,Home,https://www.jbc.org/,
17592,Journal of Biological Chemistry,Latest Open Access Research Article,https://www.jbc.org/article/S0021-9258(23)02523-1/fulltext,
17592,Journal of Biological Chemistry,Latest None-research Article,https://www.jbc.org/article/S0021-9258(23)02498-5/fulltext,Used most recent in JBC reviews. Is this too similar to a research article? (Sofia)
17592,Journal of Biological Chemistry,Article Search Result,https://www.jbc.org/action/doSearch?type=quicksearch&text1=data&field1=AllField,
17592,Journal of Biological Chemistry,Latest Issue,https://www.jbc.org/issue/S0021-9258(23)X0012-X,
15870,Journal of Clinical Investigation,Home,https://www.jci.org/,
15870,Journal of Clinical Investigation,Latest Open Access Research Article,https://www.jci.org/articles/view/162148,
15870,Journal of Clinical Investigation,Latest None-research Article,https://www.jci.org/articles/view/174633,"Chose ""commentaries"" of the many different types of non-research articles (sofia)"
15870,Journal of Clinical Investigation,Article Search Result,https://www.jci.org/search/results?q=data&x=0&y=0,
15870,Journal of Clinical Investigation,Latest Issue,https://www.jci.org/133/22,
17978,Neuron,Home,https://www.cell.com/neuron/home,
17978,Neuron,Latest Open Access Research Article,https://www.cell.com/neuron/fulltext/S0896-6273(23)00581-0,
17978,Neuron,Latest None-research Article,https://www.cell.com/neuron/fulltext/S0896-6273(23)00638-4,
17978,Neuron,Article Search Result,https://www.cell.com/action/doSearch?type=quicksearch&text1=data&field1=AllField&journalCode=neuron&SeriesKey=neuron,
17978,Neuron,Latest Issue,https://www.cell.com/neuron/current,
25454,Blood,Home,https://ashpublications.org/blood,
25454,Blood,Latest Open Access Research Article,https://ashpublications.org/blood/article/138/9/818/476679/Nonleukemic-T-B-mixed-phenotype-acute-leukemia?searchresult=1,
25454,Blood,Latest None-research Article,https://ashpublications.org/blood/article-abstract/142/14/1185/497190/Prevalence-and-significance-of-DDX41-gene-variants?redirectedFrom=fulltext,Chose: plenary paper
25454,Blood,Article Search Result,https://ashpublications.org/search-results?q=data&fl_SiteID=1&page=1&qb={%22q%22:%22data%22},
25454,Blood,Latest Issue,https://ashpublications.org/blood/issue/142/21,
16115,Nature Biotechnology,Home,https://www.nature.com/nbt/,
16115,Nature Biotechnology,Latest Open Access Research Article,https://www.nature.com/articles/s41587-023-01988-1,
16115,Nature Biotechnology,Latest None-research Article,https://www.nature.com/articles/d41587-023-00016-6,Chose: news and articles
16115,Nature Biotechnology,Article Search Result,https://www.nature.com/search?q=data&journal=,
16115,Nature Biotechnology,Latest Issue,https://www.nature.com/nbt/volumes/41/issues/11,
16764,Journal of Neuroscience,Home,https://www.jneurosci.org/,
16764,Journal of Neuroscience,Latest Open Access Research Article,https://www.jneurosci.org/content/43/47/7902,From Cellular/molecular (it seems that all belong to a sub-journal? Have to check this)
16764,Journal of Neuroscience,Latest None-research Article,,unable to find
16764,Journal of Neuroscience,Article Search Result,https://www.jneurosci.org/search/data,
16764,Journal of Neuroscience,Latest Issue,https://www.jneurosci.org/content/43/47?current-issue=y,
20315,Nature Reviews Molecular Cell Biology,Home,https://www.nature.com/nrm/,
20315,Nature Reviews Molecular Cell Biology,Latest Open Access Research Article,https://www.nature.com/articles/nrm.2017.58,Earliest seems to be 2017?
20315,Nature Reviews Molecular Cell Biology,Latest None-research Article,,"All others (comment, news, etc. are not open access)"
20315,Nature Reviews Molecular Cell Biology,Article Search Result,https://www.nature.com/search?q=data&order=relevance&journal=nrm,filtered for molecular cell biology journal (was showing results across nature)
20315,Nature Reviews Molecular Cell Biology,Latest Issue,https://www.nature.com/nrm/volumes/24/issues/12,
12464,Nature Reviews Cancer,Home,https://www.nature.com/nrc/,
12464,Nature Reviews Cancer,Latest Open Access Research Article,https://www.nature.com/articles/s41568-020-0240-7,latest was in 2020?
12464,Nature Reviews Cancer,Latest None-research Article,,"All others (comment, news, etc. are not open access)"
12464,Nature Reviews Cancer,Article Search Result,https://www.nature.com/search?q=data&order=relevance&journal=nrc,Filtered for journal
12464,Nature Reviews Cancer,Latest Issue,https://www.nature.com/nrc/volumes/23/issues/12,
29183,Cancer Research,Home,https://aacrjournals.org/cancerres,
29183,Cancer Research,Latest Open Access Research Article,https://aacrjournals.org/cancerres/article/83/22/3796/729990/Subclonal-Somatic-Copy-Number-Alterations-Emerge,
29183,Cancer Research,Latest None-research Article,,"All others (comment, news, etc. are not open access)"
29183,Cancer Research,Article Search Result,https://aacrjournals.org/cancerres/search-results?page=1&q=data&SearchSourceType=1,
29183,Cancer Research,Latest Issue,https://aacrjournals.org/cancerres/issue/83/22,
21272,Journal of Experimental Medicine,Home,https://rupress.org/jem,
21272,Journal of Experimental Medicine,Latest Open Access Research Article,https://rupress.org/jem/article/221/1/e20230927/276408/A-partial-human-LCK-defect-causes-a-T-cell?searchresult=1,
