Original,Cleaned
AAPM - American Association of Physicists in Medicine,AAPM
Academic Press Inc.,Academic Press
Academy of Management,Academy of Management
Adam Mickiewicz University Press,Adam Mickiewicz University Press
Adis,Adis Journals
Adis International Ltd,Adis Journals
AIP Publishing LLC,AIP Publishing LLC
Akademiai Kiado,Akademiai Kiado
Alexander von Humboldt Institute for Internet and Society,Alexander von Humboldt Institute for Internet and Society
Allen Press Inc.,Allen Press Inc.
Alliance of Diamond Open Access Journals,Alliance of Diamond Open Access Journals
AME Publishing Company,AME Publishing Company
American Academy of Pediatrics,American Academy of Pediatrics
American Accounting Association,American Accounting Association
American Anthropological Association,American Anthropological Association
American Association for Cancer Research Inc.,American Association for Cancer Research Inc.
American Association for Clinical Chemistry Inc.,American Association for Clinical Chemistry Inc.
American Association of Immunologists,American Association of Immunologists
American Association of Neurological Surgeons,American Association of Neurological Surgeons
American Association of Petroleum Geologists,American Association of Petroleum Geologists
American Astronomical Society,American Astronomical Society
American College of Physicians,American College of Physicians
American Diabetes Association Inc.,American Diabetes Association Inc.
American Economic Association,American Economic Association
American Institute of Mathematical Sciences,American Institute of Mathematical Sciences
American Institute of Physics,American Institute of Physics
American Marketing Association,American Marketing Association
American Mathematical Society,American Mathematical Society
American Medical Association,American Medical Association
American Meteorological Society,American Meteorological Society
American Physical Society,American Physical Society
American Psychiatric Association,American Psychiatric Association
American Society for Cell Biology,American Society for Cell Biology
American Society for Nutrition,American Society for Nutrition
American Society for Pharmacology and Experimental Therapeutics,American Society for Pharmacology and Experimental Therapeutics
American Society of Hematology,American Society of Hematology
American Society of Nephrology,American Society of Nephrology
American Society of Neuroradiology,American Society of Neuroradiology
American Society of Tropical Medicine and Hygiene,American Society of Tropical Medicine and Hygiene
Annals of Family Medicine Inc,Annals of Family Medicine Inc
Associacao Brasileira de Psiquiatria,Associacao Brasileira de Psiquiatria
Association des Annales de lInstitut Fourier,Association des Annales de lInstitut Fourier
Association for Computing Machinery (ACM),Association for Computing Machinery (ACM)
Association for Fire Ecology,Association for Fire Ecology
Association for Information Systems,Association for Information Systems
Association for Research in Vision and Ophthalmology Inc.,Association for Research in Vision and Ophthalmology Inc.
Association for the Sociology of Religion,Association for the Sociology of Religion
Association of College and Research Libraries,Association of College and Research Libraries
Association of the International Journal of Central Banking,Association of the International Journal of Central Banking
Australasian Association of Clinical Biochemists,Australasian Association of Clinical Biochemists
Australasian Society for Computers in Learning in Tertiary Education,Australasian Society for Computers in Learning in Tertiary Education
Australian Physiotherapy Association,Australian Physiotherapy Association
Austrian Society of Entomofaunistics,Austrian Society of Entomofaunistics
Azerbaijan National Academy of Sciences,Azerbaijan National Academy of Sciences
Bailliere Tindall Ltd,Bailliere Tindall Ltd
Beijing Genomics Institute,Beijing Genomics Institute
Bentham Science Publishers,Bentham Science Publishers
Bentham Science Publishers B.V.,Bentham Science Publishers
BioMed Central Ltd.,BioMed Central Ltd.
BioScientifica Ltd.,BioScientifica Ltd.
Birkhauser Boston,Birkhauser Boston
Birkhauser Verlag Basel,Birkhauser Verlag Basel
BMJ Publishing Group,BMJ Publishing Group
Bohn Stafleu van Loghum,Bohn Stafleu van Loghum
British Editorial Society of Bone and Joint Surgery,British Editorial Society of Bone and Joint Surgery
Brookings Institution Press,Brookings Institution Press
Cairo University,Cairo University
Cambridge University Press,Cambridge University Press
Canadian Mathematical Society,Canadian Mathematical Society
Canadian Medical Association,Canadian Medical Association
Carnegie Mellon University,Carnegie Mellon University
Case Western Reserve University,Case Western Reserve University
Centers for Disease Control and Prevention (CDC),Centers for Disease Control and Prevention (CDC)
Centre Mersenne,Centre Mersenne
CESER Publications,CESER Publications
Chemistry Central,Chemistry Central
China Electric Power Research Institute,China Electric Power Research Institute
China Institute of Communication,China Institute of Communication
China University of Geosciences (Beijing) and Peking University,China University of Geosciences (Beijing) and Peking University
China University of Petroleum Beijing,China University of Petroleum Beijing
Chinese Academy of Sciences,Chinese Academy of Sciences
Chinese Anticancer Association,Chinese Anticancer Association
Chinese Center for Disease Control and Prevention,Chinese Center for Disease Control and Prevention
Chinese Ceramic Society,Chinese Ceramic Society
Chinese Chemical Society,Chinese Chemical Society
Chinese Journal of Aeronautics,Chinese Journal of Aeronautics
Chinese National Cancer Center,Chinese National Cancer Center
Chongqing University of Posts and Telecommunications,Chongqing University of Posts and Telecommunications
Churchill Livingstone,Churchill Livingstone
City University of New York,City University of New York
Clinical and Experimental Rheumatology S.A.S.,Clinical and Experimental Rheumatology S.A.S.
Cold Spring Harbor Laboratory Press,Cold Spring Harbor Lab Press
Cold Spring Publishing LLC,Cold Spring Harbor Lab Press
Colegio Oficial de Psicologos Asturias,Colegio Oficial de Psicologos
Colegio Oficial de Psicologos de Madrid,Colegio Oficial de Psicologos
College of Intensive Care Medicine,College of Intensive Care Medicine
Company of Biologists Ltd,Company of Biologists Ltd
Compuscript Ltd.,Compuscript Ltd.
COPD Foundation,COPD Foundation
Copernicus Gesellschaft mbH,Copernicus Publications
Copernicus GmbH,Copernicus Publications
Copernicus Group,Copernicus Publications
Copernicus Publications,Copernicus Publications
Coquina Press,Coquina Press
Current Medicine Group,Current Medicine Group
Current Science Inc.,Current Science Inc.
Czech Botanical Society,Czech Botanical Society
D. Steinkopff-Verlag,D. Steinkopff-Verlag
de Gruyter,de Gruyter
De Gruyter Mouton,de Gruyter
De Gruyter Open Ltd.,de Gruyter
Decker Publishing,Decker Publishing
Department of Health and Human Services,Department of Health and Human Services
Department of Mathematics at Princeton University,Department of Mathematics at Princeton University
Department of Sports Medicine Medical Faculty of Uludag University,Department of Sports Medicine Medical Faculty of Uludag University
DMFA Slovenije,DMFA Slovenije
Dove Medical Press Limited,Dove Medical Press
Dove Medical Press Ltd.,Dove Medical Press
DPC Nederland,DPC Nederland
Duke University Press,Duke University Press
Ecole Polytechnique,Ecole Polytechnique
Ecological Society of America,Ecological Society of America
Edinburgh University Global Health Society,Edinburgh University Global Health Society
Edizioni Minerva Medica S.p.A.,Edizioni Minerva Medica S.p.A.
EDP Sciences,EDP Sciences
Electrochemical Society Inc.,Electrochemical Society Inc.
eLife Sciences Publications,eLife Sciences Publications
Elmer Press Inc,Elmer Press Inc
Elsevier,Elsevier
Elsevier (Singapore) Pte Ltd,Elsevier
Elsevier BV,Elsevier
Elsevier Editora Ltda,Elsevier
Elsevier Espana,Elsevier
Elsevier GmbH,Elsevier
Elsevier Inc.,Elsevier
Elsevier Ireland Ltd,Elsevier
Elsevier Ltd.,Elsevier
Elsevier Masson s.r.l.,Elsevier
Elsevier Science,Elsevier
Elsevier Science B.V.,Elsevier
Elsevier Sp. z o.o.,Elsevier
Elsevier Taiwan LLC,Elsevier
Elsevier USA,Elsevier
Emarald Group Publishing Ltd,Emarald Group Publishing Ltd
Emerald Group Publishing Ltd.,Emarald Group Publishing Ltd
Endocrine Society,Endocrine Society
EuroPCR,EuroPCR
European Academy of Management and Business Economics,European Academy of Management and Business Economics
European Association of Geochemistry,European Association of Geochemistry
European Centre for Disease Prevention and Control (ECDC),European Centre for Disease Prevention and Control (ECDC)
European Geosciences Union,European Geosciences Union
European Mathematical Society Publishing House,European Mathematical Society Publishing House
European Publishing,European Publishing
European Respiratory Society,European Respiratory Society
European Survey Research Association,European Survey Research Association
Faculty of Agriculture Ain-Shams University,Faculty of Agriculture Ain-Shams University
Feinstein Institute for Medical Research,Feinstein Institute for Medical Research
Ferrata Storti Foundation,Ferrata Storti Foundation
Finnish Institute of Occupational Health,Finnish Institute of Occupational Health
Frontiers Media S.A.,Frontiers Media S.A.
Future Medicine Ltd.,Future Medicine Ltd.
Gastro-Hep Communications Inc.,Gastro-Hep Communications Inc.
Geological Society of America,
Geological Society of London,
Georg Thieme Verlag,Georg Thieme Verlag
Gerontological Society of America,Gerontological Society of America
GESIS - Leibniz Institute for the Social Sciences,GESIS - Leibniz Institute for the Social Sciences
Giovanni Fioriti Editore,Giovanni Fioriti Editore
Global Institute of Flexible Systems Management,Global Institute of Flexible Systems Management
Global Science Press,Global Science Press
Green Wave Publishing of Canada,Green Wave Publishing of Canada
Grupo Communicar Ediciones,Grupo Communicar Ediciones
Haas School of Business,Haas School of Business
Higher Education Press,Higher Education Press
Hindawi Limited,Hindawi Publishing
Hindawi Publishing Corporation,Hindawi Publishing
Hogrefe Publishing,Hogrefe Publishing
Human Kinetics Publishers Inc.,Human Kinetics Publishers Inc.
Humana Press,Humana Press
Ibero-American Association for Distance Higher Education (AIESAD),Ibero-American Association for Distance Higher Education (AIESAD)
IEEE Computer Society,IEEE Computer Society
Indiana University,Indiana University
Indiana University Press,Indiana University
Information Processing Society of Japan,Information Processing Society of Japan
Institute of Crop Sciences (ICS),Institute of Crop Sciences (ICS)
Institute of Economic Research Nicolaus Copernicus University,Institute of Economic Research Nicolaus Copernicus University
Institute of Electrical and Electronics Engineers Inc.,Institute of Electrical and Electronics Engineers Inc.
Institute of Genetics and Developmental Biology,Institute of Genetics and Developmental Biology
Institute of Mathematical Statistics,Institute of Mathematical Statistics
Institute of Physics Publishing,Institute of Physics Publishing
Institute of Soil Science,Institute of Soil Science
Institute of Sport,Institute of Sport
Institute of Statistical Science,Institute of Statistical Science
Institution of Chemical Engineers,Institution of Chemical Engineers
Inter-Research,Inter-Research
International Association for Energy Economics,International Association for Energy Economics
International Association for the Study of Lung Cancer,International Association for the Study of Lung Cancer
International Forum of Educational Technology National Taiwan Normal University and Society,International Forum of Educational Technology National Taiwan Normal University and Society
International Mycological Association,International Mycological Association
International Press of Boston Inc.,International Press of Boston Inc.
International Society for Environmental Information Sciences,International Society for Environmental Information Sciences
International Society on Aging and Disease,International Society on Aging and Disease
