page_id,ICO,Repository_Name,url,Description,Data_Submission_Url,Data_Access_Url,Subject_Area,Access_Type,Model_System,NIH_Funding_Support,Open_Data_Submission,Data_Access,Open_time_frame_for_data_deposit,Sustained_support
"nih-1","CIT, NINDS","Federal Interagency Traumatic Brain Injury Research (FITBIR) Informatics System","https://fitbir.nih.gov/","The Federal Interagency Traumatic Brain Injury Research (FITBIR) informatics system was developed to share data across the entire TBI research field and to facilitate collaboration between laboratories, as well as interconnectivity with other informatics platforms. Sharing data, methodologies, and associated tools, rather than summaries or interpretations of this information, can accelerate research progress by allowing re-analysis of data, as well as re-aggregation, integration, and rigorous comparison with other data, tools, and methods. This community-wide sharing requires common data definitions and standards, as well as comprehensive and coherent informatics approaches.","https://fitbir.nih.gov/content/contribute-data","https://fitbir.nih.gov/content/access-data","Clinical research, Imaging, Neuroscience","controlled, registered","human","true","false","undefined","false","true"
"nih-2","Common Fund","Metabolomics Workbench","https://www.metabolomicsworkbench.org/","The NIH Common Fund's National Metabolomics Data Repository (NMDR) is now accepting metabolomics data for small and large studies on cells, tissues and organisms via the Metabolomics Workbench. We can accommodate a variety of metabolite analyses, including, but not limited to MS and NMR. In order to ensure reproducibility and interoperable use of data, we require experimental metadata (see tutorials) to be deposited along with the metabolite measurements. Processed data (measurements) maybe in the form of quantitated metabolite concentrations, MS peak height/area values, LC retention times, NMR binned areas, etc. Raw data in the form of MS and NMR binary files and associated parameter files may also be uploaded. We accept data from both targeted and untargeted studies. The Metabolomics Workbench also provides a suite of tools for analysis and visualization of the data. Step-by-step instructions for the whole process are provided on our Upload and Manage Experimental Data and Metadata page.","https://www.metabolomicsworkbench.org/data/DRCCDataDeposit.php","https://www.metabolomicsworkbench.org/data/browse.php","Clinical research, Computational biology, Other","open","human, non-human","true","true","undefined","true","false"
"nih-3","Common Fund","exRNA Atlas","https://exrna.org/","Includes exRNA profiles derived from various biofluids and conditions and currently stores data profiled from small RNA sequencing assays.","undefined","https://exrna.org/resources/data/data-access-policy-summary/","Clinical research, Neuroscience, Sequence biology","registered, open","human, non-human","true","false","undefined","false","false"
"nih-4","Common Fund","Illuminating Druggable Genome","https://pharos.nih.gov","The Pharos interface provides facile access to most data types around proteins collected and harmonized by the project. Pharos integrates data from a variety of data sources including the UniProt, GTeX, HPA, Jensen Lab datasets, EBI data sets (such as ChEMBL) and the Drug Target Ontology (DTO). Given the complexity of the data surrounding any protein, efficient and intuitive visualization has been a high priority, to enable users to quickly navigate &amp; summarize search results and rapidly identify patterns. A critical feature of the interface is the ability to perform flexible search and subsequent drill down of search results. Underlying the interface is a GraphQL API that provides programmatic access to all Pharos data, allowing for easy consumption in user applications.","undefined","https://pharos.nih.gov","Sequence biology","open","human","true","false","undefined","false","false"
"nih-5","Common Fund","LINCS","https://lincsproject.org/","Millions of transcriptomics samples were generated by the Library of Integrated Network-Based Cellular Signatures (LINCS) program. When these data are processed into searchable signatures along with signatures extracted from Genotype-Tissue Expression (GTEx), and Gene Expression Omnibus, connections between drugs, genes, pathways, and diseases can be illuminated. SigCom LINCS is a web-based search engine that serves over 1.5 million gene expression signatures processed, analyzed, and visualized from LINCS, GTEx, and GEO. SigCom LINCS is built from the Signature Commons framework, a cloud-agnostic generic platform that can be used to stand up Data Commons with a focus on searchable signatures. SigCom LINCS provides rapid signature similarity search for mimickers and reversers given sets of up and down genes. Additionally, users of SigCom LINCS can perform a metadata search to find and analyze subsets of signatures, and find information about genes and drugs.","undefined","https://maayanlab.cloud/sigcom-lincs/#/SignatureSearch/UpDown","Computational biology, Sequence biology","open","human","true","false","undefined","false","false"
"nih-6","Common Fund","MoTrPAC Data Hub","https://motrpac-data.org/","The MoTrPAC Data Hub is the portal to access data generated by the Molecular Transducers of Physical Activity Consortium (MoTrPAC).  The Data Hub allows researchers to access data from preclinical animal studies, and from the MoTrPAC clinical study.  Data includes phenotypic and muti-omic data from up to 19 different animal tissues; and clinical and muti-omic data from human exercise studies","undefined","https://motrpac-data.org/data-access","Behavioral and social sciences, Clinical research, Other, Sequence biology","controlled, registered, open","human, non-human","true","false","undefined","false","false"
"nih-7","Common Fund","GTEx","https://gtexportal.org/home/","The Genotype-Tissue Expression (GTEx) project aims to provide to the scientific community a resource with which to study human gene expression and regulation and its relationship to genetic variation. This project collected and analyzed multiple human tissues from donors who are also densely genotyped, to assess genetic variation within their genomes. By analyzing global RNA expression within individual tissues and treating the expression levels of genes as quantitative traits, variations in gene expression that are highly correlated with genetic variation can be identified as expression quantitative trait loci, or eQTLs.","undefined","https://gtexportal.org/home/datasets","Sequence biology","controlled, open","human","true","false","undefined","false","true"
"nih-8","Common Fund","HuBMAP Data Portal","https://portal.hubmapconsortium.org/","The focus of HuBMAP is understanding the intrinsic intra-, inter-, and extra- cellular biomolecular distribution in human tissue. HuBMAP will focus on fresh, fixed, or frozen healthy human tissue using in situ and dissociative techniques that have high-spatial resolution.The HuBMAP Data Portal aims to be an open map of the human body at the cellular level. These tools and maps are openly available, to accelerate understanding of the relationships between cell and tissue organization and function and human health.","undefined","https://portal.hubmapconsortium.org/","Computational biology, Imaging, Sequence biology","open","human","true","false","undefined","false","false"
"nih-9","Common Fund, DPCPSI, NCATS, NCCIH, NIBIB, NIDDK, NINDS","Stimulating Peripheral Activity to Relieve Conditions Portal (SPARC)","https://sparc.science","The SPARC Portal provides interactive access to a growing collection of data, maps, and computational studies that focus on the role of the autonomic nervous system in controlling organ function. These resources are made available to the public with the intent of advancing bioelectronic medicine towards more precise treatment of diseases and conditions.","https://docs.sparc.science/docs/submitting-a-dataset-to-sparc","https://docs.sparc.science/docs/how-to-use-and-access-sparc-data","Clinical research, Computational biology, Imaging, Neuroscience","open","human, non-human","true","true","undefined","true","true"
"nih-10","Common Fund, NCATS, NHLBI, NICHD, NIDDK, NINDS","Open Data Commons for Spinal Cord Injury","https://odc-sci.org/","The Open Data Commons for Spinal Cord Injury (ODC-SCI.org), is a community-based, dedicated data sharing portal and repository for the field of SCI where researchers can share data with colleagues in a protected space and publish data to the public with a DOI. The ODC-SCI involves a curation process and complies with the FAIR data principles to ensure that SCI data is Findable, Accessible, Interoperable and Reusable. Releasing a DOI thus requires the submission of metadata and a data dictionary.","https://odc-sci.org/","https://odc-sci.org/","Computational biology, Neuroscience","controlled, registered","human, non-human","true","true","undefined","true","true"
