page_id,is_success,count,category_count,error_count,alert_count,contrast_count,error_label_missing,error_language_missing,error_button_empty,alert_alt_suspicious,alert_h1_missing,alert_link_redundant,alert_link_pdf,alert_text_small,contrast_contrast,alert_select_missing_label,alert_region_missing,error_alt_missing,error_link_empty,error_aria_menu_broken,alert_alt_duplicate,alert_label_orphaned,alert_heading_skipped,alert_link_suspicious,alert_event_handler,alert_text_justified,alert_heading_missing,alert_link_internal_broken,error_alt_link_missing,alert_youtube_video,alert_title_redundant,error_th_empty,alert_noscript,alert_image_title,alert_label_title,alert_accesskey,alert_table_layout,error_heading_empty,alert_alt_redundant,alert_legend_missing,alert_tabindex,alert_heading_possible,alert_underline,error_link_skip_broken,alert_fieldset_missing,alert_plugin,alert_alt_long,alert_javascript_jumpmenu,error_alt_spacer_missing,error_title_invalid,error_aria_reference_broken,alert_table_caption_possible,alert_link_powerpoint,alert_link_excel,alert_audio_video,alert_list_possible,error_label_multiple,error_meta_refresh,error_alt_area_missing,alert_flash,error_alt_map_missing,error_label_empty,alert_html5_video_audio,error_alt_input_missing,alert_link_word,alert_longdesc,error_marquee,error_blink,alert_applet
1_home,True,68,9,3,28,37,1.0,1.0,1.0,16.0,1.0,9.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_home,True,9,6,2,5,2,2.0,,,,1.0,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_home,True,2108,16,835,230,1043,1.0,1.0,1.0,18.0,1.0,1.0,2.0,159.0,1043.0,,,39.0,792.0,1.0,14.0,20.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_home,True,112,8,48,37,27,46.0,,,,,3.0,,,27.0,,1.0,2.0,,,,25.0,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_home,True,9,5,4,2,3,,,3.0,,,,,,3.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_home,True,17,6,11,5,1,,,,,,3.0,1.0,,1.0,,,,1.0,,,,,,,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_home,True,25,9,3,12,10,1.0,,1.0,,,1.0,,4.0,10.0,,,,1.0,,,,2.0,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_home,True,10,3,7,1,2,7.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_home,True,84,10,2,52,30,,,,,,9.0,,4.0,30.0,,1.0,,,,2.0,,2.0,1.0,,,,,,,32.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_home,True,8,5,2,5,1,2.0,,,,,,,,1.0,2.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_home,True,17,8,8,7,2,5.0,,2.0,,1.0,1.0,,,2.0,4.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_home,True,19,11,6,12,1,,1.0,,,1.0,,,3.0,1.0,,1.0,1.0,3.0,,,,,,,,,,1.0,3.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_home,True,28,7,1,21,6,,,,,,,,1.0,6.0,,1.0,,1.0,,,,,,,,,14.0,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_home,True,75,12,14,30,31,4.0,,,,1.0,1.0,,23.0,31.0,,,6.0,2.0,,,,1.0,,,,,,2.0,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_home,True,100,18,11,34,55,3.0,,,,1.0,5.0,,8.0,55.0,2.0,1.0,6.0,1.0,,,,,1.0,1.0,,,2.0,,,2.0,,,1.0,,,,1.0,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_home,True,5,5,0,4,1,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_home,True,20,8,4,8,8,,,,,,4.0,1.0,,8.0,,,2.0,,,,,,,,,,,2.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_home,True,13,8,7,4,2,2.0,,2.0,,,2.0,,,2.0,,,1.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19_home,True,46,16,9,35,2,2.0,,,1.0,1.0,19.0,3.0,2.0,2.0,,1.0,3.0,2.0,,,,,,1.0,,,4.0,2.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_home,True,21,8,3,5,13,,1.0,,,1.0,1.0,,,13.0,,1.0,,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_home,True,65,10,4,47,14,2.0,,,1.0,,3.0,,5.0,14.0,,,,1.0,,,,1.0,,,36.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
22_home,True,21,12,9,12,0,4.0,1.0,,,,,,,,2.0,,,3.0,,,,1.0,,4.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
23_home,True,17,5,0,17,0,,,,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,6.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
24_home,True,18,7,12,3,3,,1.0,,,1.0,,,,3.0,,,6.0,,,,,1.0,,,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_home,True,63,6,0,12,51,,,,,1.0,5.0,,,51.0,,,,,,3.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26_home,True,183,11,5,82,96,1.0,,3.0,,,1.0,,,96.0,1.0,1.0,,1.0,,,,1.0,,25.0,51.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_home,True,44,7,4,28,12,,,,,,18.0,,,12.0,,,,4.0,,,,1.0,6.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_home,True,66,16,2,58,6,,1.0,,,1.0,12.0,,4.0,6.0,1.0,1.0,,,,,2.0,,,,,,,1.0,,4.0,,1.0,,1.0,1.0,23.0,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,
29_home,True,55,6,8,9,38,2.0,,,,,,,2.0,38.0,,,6.0,,,,,5.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_home,True,28,9,18,10,0,7.0,1.0,,,,3.0,,4.0,,,,3.0,3.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
31_home,True,93,7,23,40,30,2.0,,5.0,,,35.0,,,30.0,,,,16.0,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_home,True,98,15,38,44,16,16.0,1.0,,,,,,13.0,16.0,4.0,1.0,3.0,,,,,,1.0,,,1.0,,4.0,,,,,,,,20.0,,,,,,,,3.0,,,1.0,13.0,1.0,,,,,,,,,,,,,,,,,,,
33_home,True,12,6,7,5,0,,1.0,,,,,,,,,1.0,5.0,,,,,,,,,1.0,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_home,True,9,3,0,9,0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35_home,True,29,6,0,14,15,,,,,,3.0,,3.0,15.0,,,,,,,,,1.0,,,,,,,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
