id,source_id
1,dc_3061
2,dc_184
3,dc_6569
4,dc_62
5,dc_317
6,dc_29
7,dc_1861
8,dc_186
9,dc_238
10,dc_6934
11,dc_165
12,dc_93
13,dc_424
14,dc_6329
15,dc_92
16,dc_6331
17,dc_7433
18,dc_1865
19,dc_5009
20,dc_6158
21,dc_433
22,dc_148
23,dc_282
24,dc_5051
25,dc_7039
26,dc_220
27,dc_30
28,dc_31
29,dc_296
30,dc_111
31,dc_6779
32,dc_5935
33,dc_37
34,dc_256
35,dc_7367
36,dc_1334
37,dc_4842
38,dc_672
39,dc_6926
40,dc_3120
41,dc_402
42,dc_237
43,dc_1773
44,dc_7106
45,dc_66
46,dc_217
47,dc_3990
48,dc_167
49,dc_295
50,dc_176
51,dc_169
52,dc_1619
53,dc_6849
54,dc_1281
55,dc_3941
56,dc_17
57,dc_71
58,dc_1077
59,dc_7903
60,dc_36
61,dc_778
62,dc_3918
63,dc_1622
64,dc_572
65,dc_230
66,dc_3836
67,dc_109
68,dc_8231
69,dc_543
70,dc_6419
71,dc_349
72,dc_5021
73,dc_228
74,dc_20
75,dc_1383
76,dc_4640
77,dc_4188
78,dc_1864
79,dc_7067
80,dc_4096
81,dc_903
82,dc_50
83,dc_454
84,dc_4456
85,dc_4330
86,dc_1771
87,dc_216
88,dc_460
89,dc_227
90,dc_1801
91,dc_580
92,dc_740
93,dc_534
94,dc_930
95,dc_95
96,dc_1881
97,dc_4767
98,dc_419
99,dc_516
100,dc_4463
101,dc_1426
102,dc_5923
103,dc_8294
104,dc_5254
105,dc_723
106,dc_100
107,dc_5261
108,dc_339
109,dc_754
110,dc_9013
111,dc_307
112,dc_155
113,dc_3230
114,dc_4075
115,dc_4954
116,dc_6328
117,dc_6181
118,dc_372
119,dc_4042
120,dc_7187
121,dc_208
122,dc_4959
123,dc_2
124,dc_6933
125,dc_4948
126,dc_3819
127,dc_21
128,dc_234
129,dc_6291
130,dc_536
131,dc_5596
132,dc_6110
133,dc_396
134,dc_258
135,dc_1272
136,dc_567
137,dc_1849
138,dc_5008
139,dc_401
140,dc_151
141,dc_153
142,dc_275
143,dc_480
144,dc_251
145,dc_1641
146,dc_851
147,dc_380
148,dc_1802
149,dc_149
150,dc_364
151,dc_190
152,dc_1404
153,dc_859
154,dc_4656
155,dc_170
156,dc_3582
157,dc_7538
158,dc_293
159,dc_6689
160,dc_32
161,dc_2020
162,dc_196
163,dc_336
164,dc_7127
165,dc_1974
166,dc_8233
167,dc_33
168,dc_35
169,dc_283
170,dc_6019
171,dc_1957
172,dc_6966
173,dc_504
174,dc_61
175,dc_5102
176,dc_3426
177,dc_24
178,dc_1306
179,dc_191
180,dc_4110
181,dc_588
182,dc_643
183,dc_1310
184,dc_5765
185,dc_1376
186,dc_53
187,dc_1790
188,dc_248
189,dc_4068
190,dc_6239
191,dc_1236
192,dc_6932
193,dc_5907
194,dc_6917
195,dc_1531
196,dc_656
197,dc_2015
198,dc_3308
199,dc_399
200,dc_108
201,dc_353
202,dc_3847
203,dc_1307
204,dc_4433
205,dc_4946
206,dc_1762
207,dc_455
208,dc_23
209,dc_8
210,dc_425
211,dc_2024
212,dc_5182
213,dc_6683
214,dc_1778
215,dc_1537
216,dc_929
217,dc_3270
218,dc_83
219,dc_1436
220,dc_9017
