page_id,is_success,count,category_count,error_count,alert_count,contrast_count,error_alt_missing,error_alt_link_missing,error_alt_spacer_missing,error_label_missing,error_link_empty,error_aria_reference_broken,alert_alt_duplicate,alert_label_orphaned,alert_link_internal_broken,alert_link_suspicious,alert_link_redundant,alert_noscript,alert_tabindex,alert_text_small,alert_title_redundant,contrast_contrast,error_button_empty,error_link_skip_broken,alert_alt_suspicious,alert_heading_skipped,alert_link_pdf,alert_youtube_video,error_alt_input_missing,error_aria_menu_broken,alert_legend_missing,alert_event_handler,alert_alt_long,error_label_empty,alert_heading_possible,alert_link_excel,alert_alt_redundant,alert_table_layout,alert_h1_missing,alert_underline,error_label_multiple,error_heading_empty,alert_label_title,alert_audio_video,alert_select_missing_label,alert_html5_video_audio,alert_fieldset_missing,alert_heading_missing,alert_region_missing,error_th_empty,alert_image_title,alert_link_powerpoint,error_language_missing,alert_text_justified,alert_javascript_jumpmenu,alert_accesskey,alert_link_word,alert_list_possible,alert_flash,error_meta_refresh,alert_plugin,error_title_invalid,error_alt_map_missing,alert_link_document,error_alt_area_missing,alert_longdesc,alert_table_caption_possible,error_marquee,error_longdesc_invalid
1_home,True,128,16,12,112,4,1.0,1.0,2.0,1.0,4.0,3.0,4.0,25.0,2.0,1.0,12.0,3.0,15.0,1.0,49.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_home,True,6,1,0,6,0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_home,True,37,14,5,32,0,,1.0,,,1.0,,2.0,4.0,,,10.0,1.0,,3.0,4.0,,2.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_home,True,235,17,50,86,99,25.0,2.0,,3.0,12.0,5.0,10.0,,,,30.0,2.0,4.0,16.0,,99.0,,,14.0,3.0,,,1.0,2.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_home,True,7,2,0,7,0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_home,True,12,8,4,8,0,1.0,,,1.0,,,,1.0,1.0,,3.0,,,,2.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_home,True,6,1,0,6,0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_home,True,7,2,0,7,0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_home,True,7,2,0,7,0,,,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_home,True,6,1,0,6,0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
