id,source_id
27956,sjr_28773
27958,sjr_20315
27959,sjr_18434
27960,sjr_15847
27961,sjr_15819
27962,sjr_19434
27963,sjr_16115
27966,sjr_12464
27967,sjr_21206
27971,sjr_18991
27972,sjr_20425
27974,sjr_21318
27975,sjr_110092
27976,sjr_18990
27981,sjr_20651
27982,sjr_71056
27984,sjr_17700156734
27985,sjr_20798
27986,sjr_16590
27989,sjr_21100778827
27990,sjr_6200180159
27994,sjr_24004
27995,sjr_21100466539
27996,sjr_23571
27997,sjr_21100862548
28002,sjr_29093
28005,sjr_12354
28007,sjr_17436
28009,sjr_28711
28012,sjr_21100780831
28013,sjr_21100220495
28014,sjr_21100860945
28015,sjr_16801
28018,sjr_21315
28025,sjr_21100804406
28026,sjr_11600154092
28027,sjr_20313
28029,sjr_5300152732
28030,sjr_17700156208
28031,sjr_29949
28032,sjr_146172
28033,sjr_19584
28035,sjr_16860
28036,sjr_21101023100
28037,sjr_19014
28038,sjr_18606
28040,sjr_21101089342
28041,sjr_21101041613
28044,sjr_40944
28045,sjr_12010
28046,sjr_21100773752
28047,sjr_6100153018
28051,sjr_12429
28052,sjr_11300153736
28054,sjr_28366
28057,sjr_14181
28060,sjr_22401
28062,sjr_14204
28063,sjr_21100237403
28065,sjr_21100356804
28066,sjr_22471
28068,sjr_16721
28069,sjr_17700156440
28070,sjr_21100420583
28071,sjr_13900
28074,sjr_22581
28075,sjr_17978
28078,sjr_28330
28079,sjr_13443
28081,sjr_19651
28082,sjr_12394
28085,sjr_25297
28086,sjr_21100826360
28087,sjr_21100265444
28088,sjr_21706
28089,sjr_21100212318
28092,sjr_26038
28093,sjr_21101053562
28095,sjr_21100394875
28096,sjr_21100932733
28097,sjr_21100863710
28098,sjr_17437
28099,sjr_19897
28100,sjr_17700156509
28101,sjr_12000154482
28104,sjr_21100788876
28106,sjr_4600151524
28107,sjr_5800207366
28108,sjr_21100228519
28109,sjr_85291
28111,sjr_21100888816
28112,sjr_18395
28113,sjr_21100831443
28115,sjr_21100228547
28116,sjr_21100873499
28119,sjr_17700156408
28120,sjr_17700156202
28121,sjr_19136
28123,sjr_21100922606
28124,sjr_120008
28125,sjr_22657
28126,sjr_19700174677
28128,sjr_13969
28132,sjr_18000
28134,sjr_21272
28135,sjr_14719
28136,sjr_4700152228
28140,sjr_21100786228
28143,sjr_15388
28147,sjr_17600155130
28149,sjr_17900156736
28151,sjr_25491
28152,sjr_19066
28155,sjr_22680
28157,sjr_6400153137
28159,sjr_21101027628
28161,sjr_18567
28162,sjr_22126
28165,sjr_12812
28172,sjr_19133
28173,sjr_21101046404
28174,sjr_21100838541
28175,sjr_15359
28176,sjr_23188
28180,sjr_19700182323
28181,sjr_4000148205
28182,sjr_17435
28185,sjr_19614
28186,sjr_110325
28187,sjr_12459
28189,sjr_18525
28191,sjr_21100831440
28193,sjr_21100241219
28194,sjr_21191
28201,sjr_17600155011
28202,sjr_21100416121
28203,sjr_17269
28204,sjr_21708
28208,sjr_5700191214
28210,sjr_14365
28212,sjr_15870
28213,sjr_19700182758
28214,sjr_21100228540
28218,sjr_21101038708
28223,sjr_15582
28225,sjr_21677
28226,sjr_15090
28227,sjr_25454
28228,sjr_21100228546
28229,sjr_22214
28232,sjr_17552
