page_id,id,page_type,url,error_alt_area_missing,error_alt_input_missing,error_alt_link_missing,error_alt_map_missing,error_alt_missing,error_alt_spacer_missing,error_aria_menu_broken,error_aria_reference_broken,error_blink,error_button_empty,error_heading_empty,error_label_empty,error_label_missing,error_label_multiple,error_language_missing,error_link_empty,error_link_skip_broken,error_marquee,error_meta_refresh,error_th_empty,error_title_invalid
12_home,12,home,https://www.nature.com/,0.0,0.0,38.0,0.0,38.0,38.0,0.0,0.0,0.0,7.0,61.0,4.0,4.0,4.0,-1.0,142.0,142.0,-1.0,-1.0,0.0,-1.0
12_research_article,12,research_article,https://www.nature.com/articles/s41586-023-06849-0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,56.0,4.0,4.0,4.0,-1.0,570.0,570.0,-1.0,-1.0,0.0,-1.0
12_none_research_article,12,none_research_article,https://www.nature.com/articles/d41586-023-03635-w,0.0,0.0,38.0,0.0,38.0,38.0,0.0,0.0,0.0,11.0,32.0,6.0,6.0,6.0,-1.0,169.0,169.0,-1.0,-1.0,0.0,-1.0
12_article_search_result,12,article_search_result,https://www.nature.com/search?q=data&journal=,0.0,0.0,33.0,0.0,33.0,33.0,0.0,0.0,0.0,19.0,66.0,52.0,52.0,52.0,-1.0,116.0,116.0,-1.0,-1.0,0.0,-1.0
12_latest_issue,12,latest_issue,https://www.nature.com/nature/volumes/623/issues/7987,0.0,0.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,8.0,90.0,4.0,4.0,4.0,-1.0,170.0,170.0,-1.0,-1.0,0.0,-1.0
41_home,41,home,https://www.science.org/,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
41_research_article,41,research_article,https://www.science.org/doi/10.1126/science.abp8948,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
41_none_research_article,41,none_research_article,https://www.science.org/content/article/misconduct-concerns-possible-drug-risks-should-stop-stroke-trial-whistleblowers-say,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
41_article_search_result,41,article_search_result,https://www.science.org/action/doSearch?AllField=Data,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
41_latest_issue,41,latest_issue,https://www.science.org/toc/science/current,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
5_home,5,home,https://www.nejm.org/,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
5_research_article,5,research_article,https://www.nejm.org/doi/full/10.1056/NEJMoa2309457,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
5_none_research_article,5,none_research_article,https://www.nejm.org/doi/full/10.1056/NEJMp2310001,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
5_article_search_result,5,article_search_result,https://www.nejm.org/search?q=data,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
