id,source_id,date_added
1,dc_3061,11-29-2023
2,dc_184,11-29-2023
3,dc_6569,11-29-2023
4,dc_62,11-29-2023
5,dc_317,11-29-2023
6,dc_29,11-29-2023
7,dc_1861,11-29-2023
8,dc_186,11-29-2023
9,dc_238,11-29-2023
10,dc_6934,11-29-2023
11,dc_165,11-29-2023
12,dc_93,11-29-2023
13,dc_424,11-29-2023
14,dc_6329,11-29-2023
15,dc_92,11-29-2023
16,dc_6331,11-29-2023
17,dc_7433,11-29-2023
18,dc_1865,11-29-2023
19,dc_5009,11-29-2023
20,dc_6158,11-29-2023
21,dc_433,11-29-2023
22,dc_148,11-29-2023
23,dc_282,11-29-2023
24,dc_5051,11-29-2023
25,dc_7039,11-29-2023
26,dc_220,11-29-2023
27,dc_30,11-29-2023
28,dc_31,11-29-2023
29,dc_296,11-29-2023
30,dc_111,11-29-2023
31,dc_6779,11-29-2023
32,dc_5935,11-29-2023
33,dc_37,11-29-2023
34,dc_256,11-29-2023
35,dc_7367,11-29-2023
36,dc_1334,11-29-2023
37,dc_4842,11-29-2023
38,dc_672,11-29-2023
39,dc_6926,11-29-2023
40,dc_3120,11-29-2023
41,dc_402,11-29-2023
42,dc_237,11-29-2023
43,dc_1773,11-29-2023
44,dc_7106,11-29-2023
45,dc_66,11-29-2023
46,dc_217,11-29-2023
47,dc_3990,11-29-2023
48,dc_167,11-29-2023
49,dc_295,11-29-2023
50,dc_176,11-29-2023
51,dc_169,11-29-2023
52,dc_1619,11-29-2023
53,dc_6849,11-29-2023
54,dc_1281,11-29-2023
55,dc_3941,11-29-2023
56,dc_17,11-29-2023
57,dc_71,11-29-2023
58,dc_1077,11-29-2023
59,dc_7903,11-29-2023
60,dc_36,11-29-2023
61,dc_778,11-29-2023
62,dc_3918,11-29-2023
63,dc_1622,11-29-2023
64,dc_572,11-29-2023
65,dc_230,11-29-2023
66,dc_3836,11-29-2023
67,dc_109,11-29-2023
68,dc_8231,11-29-2023
69,dc_543,11-29-2023
70,dc_6419,11-29-2023
71,dc_349,11-29-2023
72,dc_5021,11-29-2023
73,dc_228,11-29-2023
74,dc_20,11-29-2023
75,dc_1383,11-29-2023
76,dc_4640,11-29-2023
77,dc_4188,11-29-2023
78,dc_1864,11-29-2023
79,dc_7067,11-29-2023
80,dc_4096,11-29-2023
81,dc_903,11-29-2023
82,dc_50,11-29-2023
83,dc_454,11-29-2023
84,dc_4456,11-29-2023
85,dc_4330,11-29-2023
86,dc_1771,11-29-2023
87,dc_216,11-29-2023
88,dc_460,11-29-2023
89,dc_227,11-29-2023
90,dc_1801,11-29-2023
91,dc_580,11-29-2023
92,dc_740,11-29-2023
93,dc_534,11-29-2023
94,dc_930,11-29-2023
95,dc_95,11-29-2023
96,dc_1881,11-29-2023
97,dc_4767,11-29-2023
98,dc_419,11-29-2023
99,dc_516,11-29-2023
100,dc_4463,11-29-2023
101,dc_1426,11-29-2023
102,dc_5923,11-29-2023
103,dc_8294,11-29-2023
104,dc_5254,11-29-2023
105,dc_723,11-29-2023
106,dc_100,11-29-2023
107,dc_5261,11-29-2023
108,dc_339,11-29-2023
109,dc_754,11-29-2023
110,dc_9013,11-29-2023
111,dc_307,11-29-2023
112,dc_155,11-29-2023
113,dc_3230,11-29-2023
114,dc_4075,11-29-2023
115,dc_4954,11-29-2023
116,dc_6328,11-29-2023
117,dc_6181,11-29-2023
118,dc_372,11-29-2023
119,dc_4042,11-29-2023
120,dc_7187,11-29-2023
121,dc_208,11-29-2023
122,dc_4959,11-29-2023
123,dc_2,11-29-2023
124,dc_6933,11-29-2023
125,dc_4948,11-29-2023
126,dc_3819,11-29-2023
127,dc_21,11-29-2023
128,dc_234,11-29-2023
129,dc_6291,11-29-2023
130,dc_536,11-29-2023
131,dc_5596,11-29-2023
132,dc_6110,11-29-2023
133,dc_396,11-29-2023
134,dc_258,11-29-2023
135,dc_1272,11-29-2023
136,dc_567,11-29-2023
137,dc_1849,11-29-2023
138,dc_5008,11-29-2023
139,dc_401,11-29-2023
140,dc_151,11-29-2023
141,dc_153,11-29-2023
142,dc_275,11-29-2023
143,dc_480,11-29-2023
144,dc_251,11-29-2023
145,dc_1641,11-29-2023
146,dc_851,11-29-2023
147,dc_380,11-29-2023
148,dc_1802,11-29-2023
149,dc_149,11-29-2023
150,dc_364,11-29-2023
151,dc_190,11-29-2023
152,dc_1404,11-29-2023
153,dc_859,11-29-2023
154,dc_4656,11-29-2023
155,dc_170,11-29-2023
156,dc_3582,11-29-2023
157,dc_7538,11-29-2023
158,dc_293,11-29-2023
159,dc_6689,11-29-2023
160,dc_32,11-29-2023
161,dc_2020,11-29-2023
162,dc_196,11-29-2023
163,dc_336,11-29-2023
164,dc_7127,11-29-2023
165,dc_1974,11-29-2023
166,dc_8233,11-29-2023
167,dc_33,11-29-2023
168,dc_35,11-29-2023
169,dc_283,11-29-2023
170,dc_6019,11-29-2023
171,dc_1957,11-29-2023
172,dc_6966,11-29-2023
173,dc_504,11-29-2023
174,dc_61,11-29-2023
175,dc_5102,11-29-2023
176,dc_3426,11-29-2023
177,dc_24,11-29-2023
178,dc_1306,11-29-2023
179,dc_191,11-29-2023
180,dc_4110,11-29-2023
181,dc_588,11-29-2023
182,dc_643,11-29-2023
183,dc_1310,11-29-2023
184,dc_5765,11-29-2023
185,dc_1376,11-29-2023
186,dc_53,11-29-2023
187,dc_1790,11-29-2023
188,dc_248,11-29-2023
189,dc_4068,11-29-2023
190,dc_6239,11-29-2023
191,dc_1236,11-29-2023
192,dc_6932,11-29-2023
193,dc_5907,11-29-2023
194,dc_6917,11-29-2023
195,dc_1531,11-29-2023
196,dc_656,11-29-2023
197,dc_2015,11-29-2023
198,dc_3308,11-29-2023
199,dc_399,11-29-2023
200,dc_108,11-29-2023
201,dc_353,11-29-2023
202,dc_3847,11-29-2023
203,dc_1307,11-29-2023
204,dc_4433,11-29-2023
205,dc_4946,11-29-2023
206,dc_1762,11-29-2023
207,dc_455,11-29-2023
208,dc_23,11-29-2023
209,dc_8,11-29-2023
210,dc_425,11-29-2023
211,dc_2024,11-29-2023
212,dc_5182,11-29-2023
213,dc_6683,11-29-2023
214,dc_1778,11-29-2023
215,dc_1537,11-29-2023
216,dc_929,11-29-2023
217,dc_3270,11-29-2023
218,dc_83,11-29-2023
219,dc_1436,11-29-2023
220,dc_9017,11-29-2023
221,dc_5381,11-29-2023
222,dc_428,11-29-2023
223,dc_6146,11-29-2023
224,dc_6805,11-29-2023
225,dc_1595,11-29-2023
226,dc_6092,11-29-2023
227,dc_3774,11-29-2023
228,dc_318,11-29-2023
229,dc_1768,11-29-2023
230,dc_4883,11-29-2023
231,dc_5025,11-29-2023
232,dc_6117,11-29-2023
233,dc_1617,11-29-2023
234,dc_374,11-29-2023
235,dc_1456,11-29-2023
236,dc_3474,11-29-2023
237,dc_1411,11-29-2023
238,dc_195,11-29-2023
239,dc_6731,11-29-2023
240,dc_19,11-29-2023
241,dc_6080,11-29-2023
242,dc_430,11-29-2023
243,dc_1097,11-29-2023
244,dc_4185,11-29-2023
245,dc_3303,11-29-2023
246,dc_1763,11-29-2023
247,dc_42,11-29-2023
248,dc_97,11-29-2023
249,dc_5212,11-29-2023
250,dc_309,11-29-2023
251,dc_179,11-29-2023
252,dc_6433,11-29-2023
253,dc_1232,11-29-2023
254,dc_1352,11-29-2023
255,dc_6846,11-29-2023
256,dc_2025,11-29-2023
257,dc_404,11-29-2023
258,dc_7435,11-29-2023
259,dc_6535,11-29-2023
260,dc_379,11-29-2023
261,dc_6601,11-29-2023
262,dc_5721,11-29-2023
263,dc_3097,11-29-2023
264,dc_3605,11-29-2023
265,dc_4354,11-29-2023
266,dc_6226,11-29-2023
267,dc_8180,11-29-2023
268,dc_4605,11-29-2023
269,dc_1493,11-29-2023
270,dc_3688,11-29-2023
271,dc_331,11-29-2023
272,dc_229,11-29-2023
273,dc_1840,11-29-2023
274,dc_1835,11-29-2023
275,dc_383,11-29-2023
276,dc_7509,11-29-2023
277,dc_1803,11-29-2023
278,dc_5070,11-29-2023
279,dc_266,11-29-2023
280,dc_449,11-29-2023
281,dc_605,11-29-2023
282,dc_8214,11-29-2023
283,dc_6173,11-29-2023
284,dc_707,11-29-2023
285,dc_4512,11-29-2023
286,dc_421,11-29-2023
287,dc_611,11-29-2023
288,dc_1843,11-29-2023
289,dc_3645,11-29-2023
290,dc_6810,11-29-2023
291,dc_4011,11-29-2023
292,dc_410,11-29-2023
293,dc_137,11-29-2023
294,dc_1361,11-29-2023
295,dc_387,11-29-2023
296,dc_200,11-29-2023
297,dc_3419,11-29-2023
298,dc_437,11-29-2023
299,dc_1266,11-29-2023
300,dc_15,11-29-2023
301,dc_274,11-29-2023
302,dc_1831,11-29-2023
303,dc_610,11-29-2023
304,dc_7171,11-29-2023
305,dc_1223,11-29-2023
306,dc_4730,11-29-2023
307,dc_5209,11-29-2023
308,dc_4931,11-29-2023
309,dc_59,11-29-2023
310,dc_7520,11-29-2023
311,dc_6844,11-29-2023
312,dc_1854,11-29-2023
313,dc_7812,11-29-2023
314,dc_6217,11-29-2023
315,dc_6288,11-29-2023
316,dc_5026,11-29-2023
317,dc_3081,11-29-2023
318,dc_4263,11-29-2023
319,dc_1755,11-29-2023
320,dc_144,11-29-2023
321,dc_3501,11-29-2023
322,dc_4915,11-29-2023
323,dc_7849,11-29-2023
324,dc_1282,11-29-2023
325,dc_1562,11-29-2023
326,dc_3180,11-29-2023
327,dc_823,11-29-2023
328,dc_5072,11-29-2023
329,dc_292,11-29-2023
330,dc_3349,11-29-2023
331,dc_172,11-29-2023
332,dc_444,11-29-2023
333,dc_105,11-29-2023
334,dc_112,11-29-2023
335,dc_329,11-29-2023
336,dc_1620,11-29-2023
337,dc_448,11-29-2023
