id,source_id,date_added
1,sjr_28773,11-29-2023
2,sjr_29431,11-29-2023
3,sjr_20315,11-29-2023
4,sjr_18434,11-29-2023
5,sjr_15847,11-29-2023
6,sjr_15819,11-29-2023
7,sjr_19434,11-29-2023
8,sjr_16115,11-29-2023
9,sjr_21100812243,11-29-2023
10,sjr_22697,11-29-2023
11,sjr_12464,11-29-2023
12,sjr_21206,11-29-2023
13,sjr_24404,11-29-2023
14,sjr_29719,11-29-2023
15,sjr_21100812579,11-29-2023
16,sjr_18991,11-29-2023
17,sjr_20425,11-29-2023
18,sjr_23340,11-29-2023
19,sjr_21318,11-29-2023
20,sjr_110092,11-29-2023
21,sjr_18990,11-29-2023
22,sjr_16036,11-29-2023
23,sjr_58530,11-29-2023
24,sjr_19900191906,11-29-2023
25,sjr_17500,11-29-2023
26,sjr_20651,11-29-2023
27,sjr_71056,11-29-2023
28,sjr_23350,11-29-2023
29,sjr_17700156734,11-29-2023
30,sjr_20798,11-29-2023
31,sjr_16590,11-29-2023
32,sjr_26651,11-29-2023
33,sjr_24202,11-29-2023
34,sjr_21100778827,11-29-2023
35,sjr_6200180159,11-29-2023
36,sjr_17900156715,11-29-2023
37,sjr_17854,11-29-2023
38,sjr_19300156903,11-29-2023
39,sjr_24004,11-29-2023
40,sjr_21100466539,11-29-2023
41,sjr_23571,11-29-2023
42,sjr_21100862548,11-29-2023
43,sjr_5200152704,11-29-2023
44,sjr_19482,11-29-2023
45,sjr_27165,11-29-2023
46,sjr_19900191767,11-29-2023
47,sjr_29093,11-29-2023
48,sjr_17500155114,11-29-2023
49,sjr_21100834904,11-29-2023
50,sjr_12354,11-29-2023
51,sjr_16161,11-29-2023
52,sjr_17436,11-29-2023
53,sjr_26978,11-29-2023
54,sjr_28711,11-29-2023
55,sjr_5700165152,11-29-2023
56,sjr_28677,11-29-2023
57,sjr_21100780831,11-29-2023
58,sjr_21100220495,11-29-2023
59,sjr_21100860945,11-29-2023
60,sjr_16801,11-29-2023
61,sjr_21100826569,11-29-2023
62,sjr_21100884663,11-29-2023
63,sjr_21315,11-29-2023
64,sjr_20191,11-29-2023
65,sjr_19900191885,11-29-2023
66,sjr_22951,11-29-2023
67,sjr_20206,11-29-2023
68,sjr_19700188417,11-29-2023
69,sjr_24379,11-29-2023
70,sjr_21100804406,11-29-2023
71,sjr_11600154092,11-29-2023
72,sjr_20313,11-29-2023
73,sjr_19700200701,11-29-2023
74,sjr_5300152732,11-29-2023
75,sjr_17700156208,11-29-2023
76,sjr_29949,11-29-2023
77,sjr_146172,11-29-2023
78,sjr_19584,11-29-2023
79,sjr_26756,11-29-2023
80,sjr_16860,11-29-2023
81,sjr_21101023100,11-29-2023
82,sjr_19014,11-29-2023
83,sjr_18606,11-29-2023
84,sjr_19881,11-29-2023
85,sjr_21101089342,11-29-2023
86,sjr_21101041613,11-29-2023
87,sjr_21100972445,11-29-2023
88,sjr_23080,11-29-2023
89,sjr_40944,11-29-2023
90,sjr_12010,11-29-2023
91,sjr_21100773752,11-29-2023
92,sjr_6100153018,11-29-2023
93,sjr_28599,11-29-2023
94,sjr_21100199127,11-29-2023
95,sjr_21101046230,11-29-2023
96,sjr_12429,11-29-2023
97,sjr_11300153736,11-29-2023
98,sjr_28980,11-29-2023
99,sjr_28366,11-29-2023
100,sjr_17899,11-29-2023
101,sjr_23157,11-29-2023
102,sjr_14181,11-29-2023
103,sjr_24204,11-29-2023
104,sjr_15646,11-29-2023
105,sjr_22401,11-29-2023
106,sjr_21100228100,11-29-2023
107,sjr_14204,11-29-2023
108,sjr_21100237403,11-29-2023
109,sjr_19900191884,11-29-2023
110,sjr_21100356804,11-29-2023
111,sjr_22471,11-29-2023
112,sjr_18100156701,11-29-2023
113,sjr_16721,11-29-2023
114,sjr_17700156440,11-29-2023
115,sjr_21100420583,11-29-2023
116,sjr_13900,11-29-2023
117,sjr_4000151822,11-29-2023
118,sjr_21100832985,11-29-2023
119,sjr_22581,11-29-2023
120,sjr_17978,11-29-2023
121,sjr_15557,11-29-2023
122,sjr_18902,11-29-2023
123,sjr_28330,11-29-2023
124,sjr_13443,11-29-2023
125,sjr_23714,11-29-2023
126,sjr_19651,11-29-2023
127,sjr_12394,11-29-2023
128,sjr_22961,11-29-2023
129,sjr_16929,11-29-2023
130,sjr_25297,11-29-2023
131,sjr_21100826360,11-29-2023
132,sjr_21100265444,11-29-2023
133,sjr_21706,11-29-2023
134,sjr_21100212318,11-29-2023
135,sjr_19700173023,11-29-2023
136,sjr_20635,11-29-2023
137,sjr_26038,11-29-2023
138,sjr_21101053562,11-29-2023
139,sjr_21789,11-29-2023
140,sjr_21100394875,11-29-2023
141,sjr_21100932733,11-29-2023
142,sjr_21100863710,11-29-2023
143,sjr_17437,11-29-2023
144,sjr_19897,11-29-2023
145,sjr_17700156509,11-29-2023
146,sjr_12000154482,11-29-2023
147,sjr_21100198409,11-29-2023
148,sjr_17814,11-29-2023
149,sjr_21100788876,11-29-2023
150,sjr_24721,11-29-2023
151,sjr_4600151524,11-29-2023
152,sjr_5800207366,11-29-2023
153,sjr_21100228519,11-29-2023
154,sjr_85291,11-29-2023
155,sjr_19600166419,11-29-2023
156,sjr_21100888816,11-29-2023
157,sjr_18395,11-29-2023
158,sjr_21100831443,11-29-2023
159,sjr_11700154368,11-29-2023
160,sjr_21100228547,11-29-2023
161,sjr_21100873499,11-29-2023
162,sjr_18935,11-29-2023
163,sjr_22324,11-29-2023
164,sjr_17700156408,11-29-2023
165,sjr_17700156202,11-29-2023
166,sjr_19136,11-29-2023
167,sjr_21100886132,11-29-2023
168,sjr_21100922606,11-29-2023
169,sjr_120008,11-29-2023
170,sjr_22657,11-29-2023
171,sjr_19700174677,11-29-2023
172,sjr_24535,11-29-2023
173,sjr_13969,11-29-2023
174,sjr_21100201772,11-29-2023
175,sjr_21101047377,11-29-2023
176,sjr_24385,11-29-2023
177,sjr_18000,11-29-2023
178,sjr_13839,11-29-2023
179,sjr_21272,11-29-2023
