page_id,violations,passes,total_checks,failure_rate
0,9,213,222,0.04054054054054054
1,14,470,484,0.028925619834710745
2,2,8,10,0.2
3,2,8,10,0.2
4,7,331,338,0.020710059171597635
5,1,292,293,0.0034129692832764505
6,3,667,670,0.004477611940298508
8,54,706,760,0.07105263157894737
9,8,488,496,0.016129032258064516
16,17,859,876,0.019406392694063926
17,47,704,751,0.06258322237017311
19,1,384,385,0.0025974025974025974
21,5,327,332,0.015060240963855422
22,28,226,254,0.11023622047244094
23,0,419,419,0.0
24,0,419,419,0.0
25,0,419,419,0.0
26,0,419,419,0.0
27,0,419,419,0.0
28,0,419,419,0.0
29,0,419,419,0.0
30,0,419,419,0.0
31,0,419,419,0.0
32,0,419,419,0.0
33,16,286,302,0.052980132450331126
34,8,290,298,0.026845637583892617
35,20,490,510,0.0392156862745098
36,6,366,372,0.016129032258064516
37,20,395,415,0.04819277108433735
38,4,370,374,0.0106951871657754
39,4,370,374,0.0106951871657754
40,3,115,118,0.025423728813559324
41,0,161,161,0.0
42,0,161,161,0.0
43,8,518,526,0.015209125475285171
46,2,618,620,0.0032258064516129032
47,3,9,12,0.25
50,3,15,18,0.16666666666666666
52,3,910,913,0.0032858707557502738
53,2,577,579,0.0034542314335060447
54,2,700,702,0.002849002849002849
55,2,618,620,0.0032258064516129032
56,3,137,140,0.02142857142857143
57,3,686,689,0.0043541364296081275
59,2,618,620,0.0032258064516129032
61,3,9,12,0.25
62,3,9,12,0.25
63,2,674,676,0.0029585798816568047
68,25,1333,1358,0.018409425625920472
69,1,201,202,0.0049504950495049506
70,4,2,6,0.6666666666666666
71,3,9,12,0.25
72,5,612,617,0.008103727714748784
73,1,449,450,0.0022222222222222222
74,14,497,511,0.0273972602739726
76,7,465,472,0.014830508474576272
77,25,655,680,0.03676470588235294
78,2,422,424,0.0047169811320754715
79,2,13,15,0.13333333333333333
80,3,480,483,0.006211180124223602
81,3,7,10,0.3
83,3,32,35,0.08571428571428572
84,3,480,483,0.006211180124223602
85,27,711,738,0.036585365853658534
86,2,596,598,0.0033444816053511705
87,3,439,442,0.006787330316742082
88,3,927,930,0.0032258064516129032
89,23,536,559,0.04114490161001789
90,10,845,855,0.011695906432748537
91,5,370,375,0.013333333333333334
92,1,231,232,0.004310344827586207
93,4,609,613,0.0065252854812398045
94,3,379,382,0.007853403141361256
95,2,64,66,0.030303030303030304
97,3,439,442,0.006787330316742082
98,15,292,307,0.048859934853420196
99,15,292,307,0.048859934853420196
101,2,207,209,0.009569377990430622
102,5,122,127,0.03937007874015748
103,9,565,574,0.0156794425087108
105,2,8,10,0.2
106,9,291,300,0.03
107,3,546,549,0.00546448087431694
108,2,13,15,0.13333333333333333
109,2,8,10,0.2
113,49,489,538,0.09107806691449814
114,8,294,302,0.026490066225165563
115,2,515,517,0.0038684719535783366
116,11,96,107,0.102803738317757
117,8,470,478,0.016736401673640166
118,2,422,424,0.0047169811320754715
119,8,717,725,0.011034482758620689
120,7,137,144,0.04861111111111111
121,0,292,292,0.0
122,7,436,443,0.01580135440180587
123,34,225,259,0.13127413127413126
124,1,66,67,0.014925373134328358
125,5,61,66,0.07575757575757576
126,2,558,560,0.0035714285714285713
128,1,471,472,0.00211864406779661
129,48,1183,1231,0.03899268887083672
130,30,332,362,0.08287292817679558
131,9,644,653,0.013782542113323124
132,13,679,692,0.01878612716763006
133,0,174,174,0.0
134,3,184,187,0.016042780748663103
135,1,859,860,0.0011627906976744186
139,8,251,259,0.03088803088803089
140,3,38,41,0.07317073170731707
141,8,522,530,0.01509433962264151
144,15,360,375,0.04
146,6,579,585,0.010256410256410256
148,11,481,492,0.022357723577235773
154,15,360,375,0.04
159,15,626,641,0.0234009360374415
160,2,406,408,0.004901960784313725
161,15,626,641,0.0234009360374415
163,12,521,533,0.0225140712945591
164,4,137,141,0.028368794326241134
168,20,344,364,0.054945054945054944
169,15,370,385,0.03896103896103896
171,3,41,44,0.06818181818181818
172,2,166,168,0.011904761904761904
173,11,657,668,0.016467065868263474
174,9,353,362,0.024861878453038673
176,11,300,311,0.03536977491961415
177,0,344,344,0.0
183,8,269,277,0.02888086642599278
184,14,225,239,0.058577405857740586
185,13,401,414,0.03140096618357488
186,0,509,509,0.0
188,5,121,126,0.03968253968253968
190,1,82,83,0.012048192771084338
192,54,432,486,0.1111111111111111
193,3,348,351,0.008547008547008548
195,54,432,486,0.1111111111111111
196,12,348,360,0.03333333333333333
197,20,674,694,0.02881844380403458
199,53,557,610,0.08688524590163935
201,5,276,281,0.017793594306049824
202,3,129,132,0.022727272727272728
203,25,399,424,0.0589622641509434
204,2,162,164,0.012195121951219513
206,46,678,724,0.06353591160220995
208,18,489,507,0.03550295857988166
209,36,706,742,0.04851752021563342
210,2,551,553,0.003616636528028933
211,23,531,554,0.04151624548736462
212,25,438,463,0.05399568034557235
213,9,76,85,0.10588235294117647
214,8,330,338,0.023668639053254437
215,28,212,240,0.11666666666666667
216,0,380,380,0.0
217,0,323,323,0.0
221,6,543,549,0.01092896174863388
222,20,306,326,0.06134969325153374
223,1,153,154,0.006493506493506494
230,10,439,449,0.022271714922048998
233,0,508,508,0.0
234,13,98,111,0.11711711711711711
235,7,132,139,0.050359712230215826
236,8,63,71,0.11267605633802817
237,18,727,745,0.024161073825503355
239,3,497,500,0.006
246,18,212,230,0.0782608695652174
248,4,1370,1374,0.002911208151382824
250,9,469,478,0.01882845188284519
251,5,197,202,0.024752475247524754
254,0,454,454,0.0
255,7,591,598,0.011705685618729096
256,4,1370,1374,0.002911208151382824
257,8,465,473,0.016913319238900635
259,10,336,346,0.028901734104046242
261,2,242,244,0.00819672131147541
263,3,207,210,0.014285714285714285
264,0,471,471,0.0
266,1,592,593,0.0016863406408094434
267,1,482,483,0.002070393374741201
271,3,544,547,0.005484460694698354
273,5,954,959,0.005213764337851929
274,0,896,896,0.0
275,1,446,447,0.0022371364653243847
276,1,661,662,0.0015105740181268882
277,4,407,411,0.009732360097323601
278,3,392,395,0.007594936708860759
279,3,392,395,0.007594936708860759
280,1,529,530,0.0018867924528301887
281,7,546,553,0.012658227848101266
282,1,620,621,0.001610305958132045
283,3,113,116,0.02586206896551724
284,3,464,467,0.006423982869379015
285,2,562,564,0.0035460992907801418
286,2,21,23,0.08695652173913043
