page_id,violations,passes,total_checks,failure_rate,page_type,index,name,type,inst,desc,city,state,blank,url,title
0,23,498,521,0.044145873320537425,home,0,AMTRAKOIG.GOV,Federal - Executive,AMTRAK,Office of Inspector General,Washington,DC,(blank),AMTRAKOIG.GOV,AMTRAKOIG.GOV
1,16,761,777,0.02059202059202059,home,1,ACUS.GOV,Federal - Executive,Administrative Conference of the United States,Administrative Conference of the United States,Washington,DC,info@acus.gov,ACUS.GOV,ACUS.GOV
2,4,10,14,0.2857142857142857,home,2,ACHP.GOV,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov,ACHP.GOV,ACHP.GOV
3,4,10,14,0.2857142857142857,home,3,PRESERVEAMERICA.GOV,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov,PRESERVEAMERICA.GOV,PRESERVEAMERICA.GOV
4,7,674,681,0.010279001468428781,home,4,ABMC.GOV,Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov,ABMC.GOV,ABMC.GOV
5,1,571,572,0.0017482517482517483,home,5,ARC.GOV,Federal - Executive,Appalachian Regional Commission,Appalachian Regional Commission,Washington,DC,(blank),ARC.GOV,ARC.GOV
6,3,1365,1368,0.0021929824561403508,home,6,ASC.GOV,Federal - Executive,Appraisal Subcommittee,Appraisal Subcommittee,Washington,DC,(blank),ASC.GOV,ASC.GOV
8,69,1002,1071,0.06442577030812324,home,8,GOLDWATERSCHOLARSHIP.GOV,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Alexandria,VA,goldwaterao@goldwaterscholarship.gov,GOLDWATERSCHOLARSHIP.GOV,GOLDWATERSCHOLARSHIP.GOV
9,8,806,814,0.009828009828009828,home,9,CIA.GOV,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),CIA.GOV,CIA.GOV
16,35,1342,1377,0.025417574437182282,home,16,CSB.GOV,Federal - Executive,Chemical Safety Board,U.S. Chemical Safety and Hazard Investigation Board,Washington,DC,andrew.staddon@csb.gov,CSB.GOV,CSB.GOV
